Title,Url,Category,Views,Activity,Replies,Content,
Trident control,https://forum.openrov.com/t/trident-control/6256,Trident,1.3k,13d,14,Trident control - Trident - OpenROV Forums,
,,,,,,,
,,,,,,Tore_Skjefstad,When I ordered the trident in 2015 it was suposed to be using a Pc-controller. Is this not an option anymore? Do i need android to use the Trident?Next question : Is it possible to use the Trident without the wireless buoy? Can it be wired directly into the controller?
,,,,,,oddgeir,"Hi<br>
I just received my Trident, and been using it for a few days now. Right now, the only way to control it, is via an android app. This app is still in itâ€™s â€œbaby stageâ€ but is working quit nice. From what I have red they are working with upgrading and expanding this app with new features. They are also planing to make an app for ios, and I just saw an ad for an ios developer.I have not seen anyting regarding a windows app, but hopefully some one from the OpenROV team can answer that.My recommendation is to go for the JXD Singularity, then you have an all in one controller, with minimum start up challenges. You can buy this from openrov or directly from China via ebay. I bought mine from China, this is the cheper alternative, but comes with a small risk of geting a unit that is not working as it should. (According to some YouTube reviews, there have been some that has defects, hopefully they have improved on there internal controls). Mine was working as it should.<br>
If you buy it from openrov, they have preinstalled the app, and made shoure it is working as it should.My next step will be to connect video goggles to the JXD to eliminate the problem with sunlight on the screen. But form what I have seen so far, is that itâ€™s important to learn to control the Trident, before you start to use video goggles. Because it take some practice to know where you Trident isâ€¦I was also focused on using a laptop with a Bluetooth controller, but that was before I got to try it.The JXD also can fit in the hard case.<div class=""lightbox-wrapper""><a class=""lightbox"" href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/original/2X/5/5f585c6aba96fd0657a8d5f263ba7faf1104a83c.jpeg"" data-download-href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/5f585c6aba96fd0657a8d5f263ba7faf1104a83c"" title=""C1AE6423-13FC-42F8-B5E3-B4918F3CF0AC.jpeg"" rel=""nofollow noopener""><img  alt=""image"" width=""666"" height=""500""><div class=""meta"">
<span class=""filename"">C1AE6423-13FC-42F8-B5E3-B4918F3CF0AC.jpeg</span><span class=""informations"">4032x3024 2.02 MB</span><span class=""expand""></span>
</div></a></div>"
,,,,,,Tore_Skjefstad,"Thanks a lot for information <img  title="":slight_smile:"" class=""emoji"" alt="":slight_smile:"">"
,,,,,,marcolinger,"I confirm, the JDX (bought directly from Openrov with the Trident) is a pefect choice. The app is working fine but there is certainly a lot of room to improve it, mainly to give the possibility to register in high resolution onto the memory inside rhe Trident.<br>
For me, the only problem is that you see nearly nothing on the screen when you are near the sea and have a bright sun. This is not a problem of the JDX and will not be diminuished by another screen. I used my anorak to cover my head and the screen in order to get a darker environment. This works but is not particularly nice when it is hot ! The best solution are probably dji or similar googles.<br>
As the Sardinian sea in our place get deep only verry far from the coast, I used the 100 meter lenghts but went only to 2,20 meter deep. I had no problem at all with the orientation. Once you understand how works the compass indication it is pretty<br>
Easy.<br>
An important recommendation is to clean with attention the motor compartiments. In mine I had a lot of fine sea sand. Also the salted water has to be removed carefully (not know how to do this with the central propellor ?).Conclusion : a perfect product ! I really do not regret my investment."
,,,,,,maurosacchi,"Waiting for my unit and having the same issue. When I ordered it the advertised way of working was via laptop, now its only android tablet. I have only laptop and iOS devices, so basically have to wait to get a iOS app and hopefully the possibility to use my laptop. Otherwise I will have to spend another 400$ plus custom and shipping to buy an android controller, which is not my preference.<br>
Annoying have to say. What is the timeline for iOS/laptop use?"
,,,,,,marcolinger,"In my opinion, having used the Trident, a computer is the worst solution. Far to large, heavy and fragil. If you do not want to buy the Openrov solution, take a non expensive android tablet. This will do a good job at a low price. The only disadvantage, based on my experience, is that you will probably be a little less precise in the guidance of the rov as you donâ€™t have well calibrated joysticks."
,,,,,,Paolo,Does anyone tryed to fly the Trident using an Android emulator on a Win laptop? This could be a temporary solution in the meanwhile the IOS / Windows app will be readyâ€¦
,,,,,,maurosacchi,"Well i always travel with my macbook pro 15"" for underwater photography/videography. Never had any issue to use it on a boat. When I ordered the Trident my use case was to load video footage and pictures straight to the laptop to run photogrammetry. I anyway need the laptop when I travel, now it seems I need also another controllerâ€¦"
,,,,,,Paolo,"Hi guys, even my Trident safely arrived in my hands. I do not have many android devices and so Iâ€™m trying to test it with what I have now available. Well, I started with a Win laptop running different android emulators (i.e Memu, Bluestacks etcâ€¦)â€¦it doesnâ€™t work.<br>
Now, Iâ€™m trying with the ZIDOO X9S  (a tv box but almost a pc running android 6.0). The OpenROV app works well. The thrusters controls and compass signal works without any lag. The video feed works well but there is a lag of about 25 seconds between what the Trident see and what is shown in the tvâ€¦ Any one has suggestions in order to eliminate this video lag?"
,,,,,,halmueller,"Iâ€™m not completely happy with the JDX.Itâ€™s fast, and the OpenROV Cockpit software works well. I appreciate the external gamepad controls and I think theyâ€™re easier to use than touchscreen controls would be.My two gripes are that the screen is not very bright, and that the JDX has no internal compass.Itâ€™s very hard to read the screen contents in sunlight.An internal compass would make it easier to fly because Iâ€™d be able to translate the Vehicle Heading indicator to a real direction of travel and visualize that when Iâ€™m on the water.It does the job but I think there must be better alternatives."
,,,,,,finn1,"Hi Oddgeir!Are you from Norway? Iâ€™m in Sweden and took your advice and bought a JXD S192k from Gearbest. However, I canâ€™t install the app (although I got a link from OPENROV) as I canâ€™t use google play store at all, since I get a â€œDevice is not Certified by Googleâ€ error when I try to open any google app (including play store). I looked online and found some clues to register my device using a GSF ID, but to find this ID seemed to involve installing an app, and since I canâ€™t use play store, I canâ€™t install that appâ€¦ hece a catch 22. How did you manage?best regardsFInn"
,,,,,,oddgeir,"Hi, yes I am from Norway.<br>
Sounds a bit strange that you can not accsess the play store. I did not have any issue with that, and was able to accsess play store with out doing anything special.<br>
The JDX is my first android unit, so I donâ€™t have much android experience. Would recommend you to contact customer support at gearbest, to see if they can come up with something"
,,,,,,hunigraphics,"Iâ€™m brand new with 2flights under my belt. Iâ€™m using OpenROVâ€™s JXD &amp; have huge problems in the pitch control in a real world flight. In the pool I can keep it level &amp; steady but that is watching it directly &amp; not on a screen.<br>
I then flew it in a fresh water rock pool in the wild nature &amp; could only view via JXD screen or through the DJI goggles. Awesome pics but my pitch is up &amp; down like a roller coaster. I think lag is the main reason &amp; need to get it sorted. I also found that I couldnâ€™t just go stick free &amp; stay stationary without cloud of rocks &amp; silt clouding up form auto control?I think this a full 360Â° shading is needed in the field as I could see crap without putting a jacket over my head lol<br>
<div class=""lightbox-wrapper""><a class=""lightbox"" href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/original/2X/9/938af4012186cb7829f22a5fe1b90562fd8d74b6.jpeg"" data-download-href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/938af4012186cb7829f22a5fe1b90562fd8d74b6"" title=""588CCB1F-3192-4886-B358-FAD6E9F3B4D0.jpeg"" rel=""nofollow noopener""><img  alt=""image"" width=""633"" height=""500""><div class=""meta"">
<span class=""filename"">588CCB1F-3192-4886-B358-FAD6E9F3B4D0.jpeg</span><span class=""informations"">640x505 180 KB</span><span class=""expand""></span>
</div></a></div><br>
This is on Amazon &amp; has a access window for touch screen controls.Thinking <img  title="":thinking:"" class=""emoji"" alt="":thinking:""> of that, is there anyway to have the JXD to have a screen curser so I can select stuff without touch screen? With DJI goggles on, itâ€™s a pain to stop - lift goggles -  select touch screen - lower goggles &amp; start all over again? Just a thought.For those without JXD, my preference would be a small laptop with a USB joystick. Left hand on slide throttle &amp; right hand on stick for pitch &amp; yaw plus have trims to auto counter for currents &amp; whatever. Fly it like a plane, just no roll <img  title="":grinning:"" class=""emoji"" alt="":grinning:""><img  title="":+1:"" class=""emoji"" alt="":+1:""><br>
<div class=""lightbox-wrapper""><a class=""lightbox"" href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/original/2X/d/dd939d9f7f9496250e30e61fc57c65dbaf91fa83.jpeg"" data-download-href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/dd939d9f7f9496250e30e61fc57c65dbaf91fa83"" title=""E2C2D4E0-D0B2-40E5-925B-8E80C1F0EDF0.jpeg"" rel=""nofollow noopener""><img  alt=""image"" width=""666"" height=""500""><div class=""meta"">
<span class=""filename"">E2C2D4E0-D0B2-40E5-925B-8E80C1F0EDF0.jpeg</span><span class=""informations"">4032x3024 2.98 MB</span><span class=""expand""></span>
</div></a></div>"
,,,,,,james1,"I found i have much better control the trident wth my bluetooth â€œSteelseriesâ€ game controller it allows fine motor movements. using the tablet touch screen only causes too much movement. Since I will deploying always from a boat I canâ€™t use googles (sea-sickness)<br>
I mount my tablet in a RAM mount tablet holder with a full screen shade. I am hoping at sometime we can use the DJI CrystalSky tablet <a href=""https://store.dji.com/product/crystalsky?vid=23531"" rel=""nofollow noopener"">https://store.dji.com/product/crystalsky?vid=23531</a><br>
which would be costly but very nice, with the ability to use in full sunlight."
,,,,,,nicole.guintu,Really love this photo? Do you mind if OpenROV uses it on social media?
JXD owner access denied,https://forum.openrov.com/t/jxd-owner-access-denied/6959,Trident,60,15d,0,JXD owner access denied - Trident - OpenROV Forums,
,,,,,,,
,,,,,,doug1,"It seem<br>
I cannot access the â€œownerâ€ settings on the JXD, has this been locked by OpenRov or am I failing to do something?Thanks,Doug"
Trident Cockpit (near) Autonomous Pattern Search,https://forum.openrov.com/t/trident-cockpit-near-autonomous-pattern-search/6953,Trident,72,17d,0,Trident Cockpit (near) Autonomous Pattern Search - Trident - OpenROV Forums,
,,,,,,,
,,,,,,spaceaholic,Does Trident Cockpit control software have the ability to implement a autonomous box pattern or navigate grid search to reduce operator workload? Intended application is for search and recovery â€¦or perhaps there is another option that will work with Trident to perform this feature?Scott
Trident Video Glitch,https://forum.openrov.com/t/trident-video-glitch/6446,Trident,488,18d,9,Trident Video Glitch - Trident - OpenROV Forums,
,,,,,,,
,,,,,,tpedlow51,"Hi all,So Iâ€™ve been loving my new Trident so far but an issue has cropped up today while I was teaching a bunch of interns about the ROV and we were about to start a transect when the video froze. We brought the ROV back into shore (controls were still working). when it was back on shore the video returned but then when we tried to redeploy it froze before it was even in the water. We tried restarting the app and the ROV a few times and checked the connectors repeatedly. We even tried running it off my phone.No matter what we did it would either freeze completely for periods of time (several minutes) before returning, not be able to find the video publisher (ie. offer to let me control the ROV without a camera feed), or in the case of running it off my phone, run with so much lag that it was impossible to pilot.Has anyone else encountered this and do you know a fix?CheersTomasz"
,,,,,,james1,"I noticed on my Trident that I had a .5 second delay on the video. I may be my tablet causing it but I did sent a sample video into OpenROV<br>
Still loving it"
,,,,,,Eric_Stackpole,"Hey guys,Thank you both for this feedback. Certainly neither of these video issues should happen. If you wouldnâ€™t mind emailing these descriptions to our support team (<a href=""mailto:support@openrov.com"">support@openrov.com</a>) we can track the issues through our system. In the meantime, the basic things to double check are signal quality (make sure there is a good radio path between the WiFi Topside and your device, and that there isnâ€™t a lot of other interference on those frequencies like lots of other WiFi or Bluetooth devices). Also, sometimes video can cut out if the battery level is very low, so itâ€™s good to double check that your battery isnâ€™t almost dead.Presuming it isnâ€™t either if these issues, Support is probably the best route to go so we can get more hands-on.Thanks again for reporting this stuff back!Eric"
,,,,,,charlesdc,"Hi <a class=""mention"" href=""/u/james1"">@james1</a> ,Another potential issue in your situation is that your device either doesnâ€™t have dedicated H264 decoding hardware and is falling back to a software decoder, which could affect decoding latency, or you may have a hardware decoder that is making certain assumptions about the streamâ€™s characteristics which introduces unnecessary latency.Generally, the wifi hardware of a device is the first place I suspect problems, and then the decoding hardware is where I look next.If you can tell me the exact model number of your android tablet, I can dig in deeper!Thanks,<br>
Charles"
,,,,,,james1,"Hi Charles<br>
Thank you.<br>
I previously sent a email and video to Zack so you may have seen this already.<br>
But the Tablet is<br>
Samsung Galaxy Tab A<br>
Model # SM -T350<br>
Android version 7.1.1Please let me know if you need anything else.<br>
James Moskito"
,,,,,,tpedlow51,"thanks for your reply Eric, I did talk to support and they said more or less what youâ€™ve just told me. The area does have several other wifi signals but Iâ€™d dived the trident there many times without issue, The battery was full and the tablet was the same one Iâ€™d used in the prior dives without issue. What did change is Iâ€™d switched on developer mode on the app. I switched this off and took it down for a dive after posting this and it seemed to work fine. Iâ€™ll certainly update if the problem returns."
,,,,,,Jim_N,"I noticed this issue out on my kayak under the sun. I shielded the router and the glitches stopped. May not be the same issue you are having, but seems, as one might think, high heat on the router box, starts messing up the internal electronics, hitting the higher demand data packets first, i.e. video.However, I did notice this on a fresh water dive it much milder weather up in the PA mountainsâ€¦"
,,,,,,crestofthewave,"Iâ€™ve experienced similar freeze ups on two early evening dives in a fresh water lake.<br>
There may be WiFi interference from camps along the lake frontage. Freeze-ups have<br>
occurred at depths of ~ 50 ft., and video and motor control returned after a few minutes.<br>
Heat was not the problem in my case. Battery charge may have been a factor in one case,<br>
but not the other.Iâ€™ll let you know more details if it happens again.Tim<br>
SN 618B7124<br>
Using JXD Model No. S192K"
,,,,,,wezcrutchfield,"Hi, Yes i had a similar problem on my first two days of testing off a beach, but i was allowing the buoy antenna to float out with the sub, which i have subsequently learnt i should not do, its not designed as a floater apparently, which is a shame as i understood this was the whole point of a buoy antenna, any way, i concluded it was a range issue as the video dropped out some 5-10M away as the buoy sailed away behind the sub and controls failed after about 20-30M, i had to be close to the antena buoy (now dangling in a tree branch) to keep the video, working from a boat it was OK, but then you need to drive the boat as well as the sub. It would be a great advantage to eventually have a floating antenna for more freedom on the dive, i hope OPENROV can look at this, and dare i say again, move the record button to the top of the screen, i found my self switching the video on and off as my fingers fumbled with the pilot control, cheers all, Wez"
,,,,,,Eric_Stackpole,"Thanks for the feedback <a class=""mention"" href=""/u/wezcrutchfield"">@wezcrutchfield</a>"
Trident Tether VS OpenROV Tether,https://forum.openrov.com/t/trident-tether-vs-openrov-tether/6541,Trident,328,18d,4,Trident Tether VS OpenROV Tether - Trident - OpenROV Forums,
,,,,,,,
,,,,,,samuel.lambert,"Hello everyone,I am wondering if the tether on the Trident is the same as the one on the OpenROV, or if there is any way I could use my old OpenROV tether for the Trident (if I decide to cut one of my trident tether for the connector). Iâ€™ve got 300-400 m of tether that we use to inspect underwater pipes, tanks and what not. However, I noticed that the Trident connector seems to have 3 connections, so I suppose there are 3 wires in the tether, but there are only 2 in the OpenROVâ€™sâ€¦ Was someone brave enough to cut open one of his/her Trident tether?If the tether are not compatible, I would like to know where to find some compatible tether, because our applications often require more than 100m of tether.Thank you,"
,,,,,,Eric_Stackpole,"Hey <a class=""mention"" href=""/u/samuel.lambert"">@samuel.lambert</a>- The tether itself is the same as what weâ€™ve sold for the kits, and the only two of the three pins of the connector are attached to the (two) wires inside the tether. The third pin is used for charging when that connector is attached.The challenge youâ€™d face with a longer tether (over about 120m) is that not enough current would be able to make up the tether to power the topside. For longer tether lengths, one would need to provide external power to the topside. Doing that requires a bit of technical know-how, and we havenâ€™t yet organized that information in a way thatâ€™s easy to describe here. If youâ€™d like, send me a privet message and we can arrange a Skype call or something to talk details.Sounds like a cool application!Eric"
,,,,,,wezcrutchfield,"I would be very interested to see a floating buoy top side with power and a longer range antenna to free up the dive , this cant be that difficult to build, i wonder if OPENROV could look at this, the buoy could be a keel yacht hull design for ease of towing through the water and stability,  i was thinking of simply putting the buoy in a model boat to the same end but the antenna on the buoy seems weak, and has a short range.Wez"
,,,,,,marcolinger,"If you look at older posts and communications, you will read that this was the initial intention. Finally they didnâ€™t realize it."
,,,,,,Eric_Stackpole,"Hey <a class=""mention"" href=""/u/wezcrutchfield"">@wezcrutchfield</a>, as <a class=""mention"" href=""/u/marcolinger"">@marcolinger</a> pointed out we have also been very fond of this idea but determined that to do it right would take a significant amount of R&amp;D that we werenâ€™t prepared for. There are still a lot of thoughts we have about this concept and Idâ€™d love to hear what features would be important to you.Thanks for the comment!Eric"
Extracting video files from trident,https://forum.openrov.com/t/extracting-video-files-from-trident/6939,Trident,74,21d,1,Extracting video files from trident - Trident - OpenROV Forums,
,,,,,,,
,,,,,,Kristian_Vinther,Currently I am retrieving the 1080p video by first downloading them to my controller and then by USB to my laptop.But is there a way to skip the controller and download directly to laptop via the trident WiFi access point?I am using the new Trident with the latest software.
,,,,,,Peter_S,"I donâ€™t think there is another way to do it right now, but I think they are working on some other sollution to skip a few steps in the downloading process <img  title="":slight_smile:"" class=""emoji"" alt="":slight_smile:"">"
Sourcing o-rings in Europe,,,,,,Sourcing o-rings in Europe - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,Achraf,"Hello,I am looking for a place (that can deliver to Switzerland or France) to buy a replacement set of the o-rings for my 2.6 OpenROV.<br>
<a href=""http://mcmaster.com"" rel=""nofollow noopener"">mcmaster.com</a> do not ship to Europe.Thank you"
,,,,,,Barry,"Try - <a href=""http://www.polymax.co.uk/"" rel=""nofollow noopener"">http://www.polymax.co.uk/</a>Though they do have a minimum order amount I think, so you might have to buy â€œsparesâ€."
,,,,,,Achraf,"Thank you very much. That worked!For anyone else who is wondering, on this website to search for the o-rings as per the BOM, you need to preceed the number with BS.<br>
So for example to search for the <span class=""hashtag"">#119</span>, search for BS119."
,,,,,,mr-labman,"if you need American spec o-rings, another site you can try is <a href=""https://www.raptorsupplies.com"" rel=""nofollow noopener"">https://www.raptorsupplies.com</a>. they deliver within the UK and offer delivery to Europe as well."
FPV goggles for the Trident?,https://forum.openrov.com/t/fpv-goggles-for-the-trident/6119,Trident,925,22d,5,FPV goggles for the Trident? - Trident - OpenROV Forums,
,,,,,,,
,,,,,,bertram33,"Has anyone explored the subject of utilizing FPV goggles topside?  I have ordered the new controller and want to incorporate a set into my new system.  I also fly DJI drones commercially and if possible wanted to see if it doable to use the new DJI FPV goggles with Trident via output on controller.  DJI supports MP4, MOV &amp; MKV.  Any input would be greatly appreciated as I donâ€™t want to part with the $$ for the Mavic only.  If I can use on both platforms then it would be well worth it!Thanks, Steve Driscoll"
,,,,,,lorah,Have you seen this post about using HD goggles with the 2.8?The JXD for the Trident has an HDMI port so you could plug any HD goggles (including the DJI ones) in there and use the controls on the JXD but view the image through your HD goggles. You could do something similar with a regular tablet that has an HDMI port.
,,,,,,andreas_lindberg,"Also this thread<br>
<a href=""https://forum.openrov.com/t/vr-headset-for-fpv-trident-flying-on-the-cheap-and-hacky/6239"">https://forum.openrov.com/t/vr-headset-for-fpv-trident-flying-on-the-cheap-and-hacky/6239</a>"
,,,,,,c.causetout,I use the DJI Goggles via HDMI on the JXD . Works great!
,,,,,,kf4hrkf4hr,I am also using the DJI Goggles (Racing Edition) with my JXD controller.  Itâ€™s a very nice arrangement.
,,,,,,spaceaholic,"Does anybody know (and have they been successful) in using the JXD micro-usb port to supply video to a set of FPV googles?I am looking at this new product from Epson: the Moverio BT-35E which accepts both HDMI and USB C video direct input  <a href=""https://www.vrfocus.com/2018/08/epson-launches-moverio-bt-35e-smart-glasses/"" rel=""nofollow noopener"">https://www.vrfocus.com/2018/08/epson-launches-moverio-bt-35e-smart-glasses/</a>The BT-35E will operate without a power supply if it receives an input via its  USB C interfaceâ€¦not so via HDMI, hence preference on this end to feed video (and power pass through) via  USB (am assuming too its possible to convert from micro USB to USB C with power pass through). Hoping to avoid requirement for separate external power supply to energize the smart glasses."
No lights showing on topside,https://forum.openrov.com/t/no-lights-showing-on-topside/6907,OpenROV Product Support,107,22d,5,No lights showing on topside - OpenROV Product Support - OpenROV Forums,
,,,,,,,
,,,,,,joecrackalack,"after connecting trident to topside, i am not showing any status lights on TOPSIDE, which is preventing me to connect my device to trident. this is the second time i am trying to operate, it worked fine the first time"
,,,,,,joecrackalack,"i was able to enable lights, still having connection issues to my android device (samsung galaxy 9 plus)"
,,,,,,Eric_Stackpole,"Hi <a class=""mention"" href=""/u/joecrackalack"">@joecrackalack</a> - The first two things to check would be 1) that the tether connector is firmly tightened both on the ROV and on the topside, and 2) that the battery on the ROV is charged. If youâ€™re still having troubles after checking those things, Iâ€™d suggest emailing <a href=""mailto:support@openrov.com"">support@openrov.com</a> and they can help you troubleshoot further. Other types of failures that could cause this to happen are rare, and weâ€™re very interested to learn of any other items that should be examined more closely in our outgoing QA process. Please let us know how it turns out!"
,,,,,,joecrackalack,"After rebooting, charging and reattaching cables, all systems are a go.  Thanks for your help or my lack of attention to detail.  <img  title="":+1:t3:"" class=""emoji"" alt="":+1:t3:"">"
,,,,,,Jim_N,"Iâ€™ve seen this as well. If I tweak the ROV side connector, the topside lights up. I think there is an issue with the pins, perhaps they recede over time or junk gets in thereâ€¦good to keep an eye on.Jim"
,,,,,,danieljondickson,"Mine did this as well, I found out why!<br>
The top side buoy is not as waterproof as it is meant to be and has filled up with water.<br>
Used the trident for the first time today, all connections were tight."
Trident to Pixel One Connectivity Issue Resolved,https://forum.openrov.com/t/trident-to-pixel-one-connectivity-issue-resolved/6871,Trident,97,23d,1,Trident to Pixel One Connectivity Issue Resolved - Trident - OpenROV Forums,
,,,,,,,
,,,,,,Brendan_Hunter,"Trident Firmware: 719eb7<br>
Cockpit Version 1.5.2<br>
Device: Google Pixel Gen One<br>
Android Version: Android 09 â€œPieâ€I contacted Support@OpenROV yesterday RE the app being â€œstuckâ€ on â€œLooking for Tridentâ€ despite being connected to the Tridentâ€™s WiFi.Issue Resolved:<br>
When <strong>mobile</strong> data was disabled, the trident immediately connected!"
,,,,,,danieljondickson,"Had this issue this morning while testing out the Trident this morning. Lost connectivity while in the middle of the pool.<br>
Thanks for the solve.<br>
<div class=""lightbox-wrapper""><a class=""lightbox"" href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/original/2X/5/5feb080faacef0766cc15b8f407ffef200a29398.jpeg"" data-download-href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/5feb080faacef0766cc15b8f407ffef200a29398"" title=""IMG20181020114752.jpg"" rel=""nofollow noopener""><img  alt=""IMG20181020114752"" width=""375"" height=""500"" srcset=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/optimized/2X/5/5feb080faacef0766cc15b8f407ffef200a29398_1_375x500.jpeg, https://discourse-cdn-sjc1.com/business6/uploads/openrov/optimized/2X/5/5feb080faacef0766cc15b8f407ffef200a29398_1_562x750.jpeg 1.5x, https://discourse-cdn-sjc1.com/business6/uploads/openrov/optimized/2X/5/5feb080faacef0766cc15b8f407ffef200a29398_1_750x1000.jpeg 2.0x""><div class=""meta"">
<span class=""filename"">IMG20181020114752.jpg</span><span class=""informations"">3456x4608 3.37 MB</span><span class=""expand""></span>
</div></a></div>"
Trident Controls how to correct?,https://forum.openrov.com/t/trident-controls-how-to-correct/6624,Trident,279,26d,5,Trident Controls how to correct? - Trident - OpenROV Forums,
,,,,,,,
,,,,,,robert.oneill,"I have tried controlling my Trident with both my Samsung 9+ and my Samsung Tablet A and while it connects well, my controls are incorrect. The controls for moving forward, back, left and right are incorrect. Pitch works fine. When I move to turn right, it moves forward, move left and it goes backwards. Forward goes left and back goes right. How do I correct this? I could not find anyway to reset or change these settings.Need your assistance, thanks."
,,,,,,Zack,"Hey Robert,Sorry for the slow reply. Itâ€™s faster if you go through <a href=""mailto:support@openrov.com"">support@openrov.com</a> but we can probably figure it out.A few questions, what are you using to control Trident? Are you using the JXD controller through the website or a tablet or smartphone? Do the controls behave differently from the touchscreen controls?Thanks"
,,,,,,makotooth,I had the same thing happened to me. Turns out I had two â€œrightâ€ propellers. Check to make sure there is an L on the left one and a R stamped on the right propeller. They sent me a whole new motor and propeller.
,,,,,,robert.oneill,"Turns out you are right, thanks very much."
,,,,,,spaceaholic,Wowâ€¦how does this happen (multiple times)? One would assume better Q/C on these ROVâ€™s going out the doorâ€¦arent they tested first?
,,,,,,Jim_Pike,Have the same problem with identical props L and R.
User manual trident,https://forum.openrov.com/t/user-manual-trident/6909,OpenROV Product Support,69,27d,0,User manual trident - OpenROV Product Support - OpenROV Forums,
,,,,,,,
,,,,,,jalvarez,"Dear Open Rov<br>
I need the user manual for operating the equipment. Its. urgentlyBest regards"
Nexus 7 tablet camera not working,https://forum.openrov.com/t/nexus-7-tablet-camera-not-working/6899,OpenROV Product Support,67,28d,3,Nexus 7 tablet camera not working - OpenROV Product Support - OpenROV Forums,
,,,,,,,
,,,,,,jsalasky,"I am trying to use a nexus 7 tablet. It connects, and the controls work, but I cannot  see the camera. It does record the video though. Anyone have any suggestions?"
,,,,,,Peter_S,"Have you tried to update the app recently, and also to check in the app afterwards if there are any updates for the Trident firmware? Otherwise, send an e-mail to <a href=""mailto:support@openrov.com"">support@openrov.com</a> or use this contact form <img  title="":slight_smile:"" class=""emoji"" alt="":slight_smile:""><br>
<a href=""https://www.openrov.com/support/"" rel=""nofollow noopener"">https://www.openrov.com/support/</a>"
,,,,,,jsalasky,Yes i did update the app. Thank you for replying.
,,,,,,mike.roznovsky,"I have an old Nexus 7 (made by ASUS) with the same results, no video on cockpit view.  I have an ASUS tablet with the same ROV and I get cockpit video.  Got me!"
What thread for the tether connection?,https://forum.openrov.com/t/what-thread-for-the-tether-connection/6880,Trident,110,43385,3,What thread for the tether connection? - Trident - OpenROV Forums,
,,,,,,,
,,,,,,Dag,I would like to add a threaded hole on the reel to fix the tether connetion.
