Title,Url,Category,Views,Activity,Replies
Oculus Rift for Tele-Presence?,https://forum.openrov.com/t/oculus-rift-for-tele-presence/471,Software,2.5k,Dec '17,14
Fish and obstacle detection,https://forum.openrov.com/t/fish-and-obstacle-detection/6034,Add-on Components,376,Dec '17,0
Underwater SLAM and path planning,https://forum.openrov.com/t/underwater-slam-and-path-planning/6033,Add-on Components,295,Dec '17,0
Multiple Camera Support in OpenROV,https://forum.openrov.com/t/multiple-camera-support-in-openrov/5915,Software,660,Dec '17,5
DIY 3 Thrusters ROV Build Log,https://forum.openrov.com/t/diy-3-thrusters-rov-build-log/6019,Project and Build Discussion,597,Dec '17,1
Affordable gripper / grabber / manipulator,https://forum.openrov.com/t/affordable-gripper-grabber-manipulator/2526,Project and Build Discussion,4.6k,Dec '17,20
Underwater metal detector,https://forum.openrov.com/t/underwater-metal-detector/2885,Electronics,7.2k,Dec '17,18
Design a 4 thruster ROV,https://forum.openrov.com/t/design-a-4-thruster-rov/3628,Open Talk,5.3k,Dec '17,16
Hydrodynamics coefficient for openrov controller,https://forum.openrov.com/t/hydrodynamics-coefficient-for-openrov-controller/3921,Open Talk,2.0k,Nov '17,8
Add new sensor with its arduino code,https://forum.openrov.com/t/add-new-sensor-with-its-arduino-code/5973,Software,461,Nov '17,3
Add a Funduino sensor on Bord -Code,https://forum.openrov.com/t/add-a-funduino-sensor-on-bord-code/5981,Software,266,Nov '17,0
Early tests of streaming audio from the ROV,https://forum.openrov.com/t/early-tests-of-streaming-audio-from-the-rov/1328,Software,1.3k,Nov '17,14
Why use motor CAPE’s? Which one to use?,https://forum.openrov.com/t/why-use-motor-capes-which-one-to-use/5963,Electronics,276,Nov '17,1
Recommended topside side scan sonar systems,https://forum.openrov.com/t/recommended-topside-side-scan-sonar-systems/5960,Open Talk,817,Nov '17,4
Adding sensors to controller board,https://forum.openrov.com/t/adding-sensors-to-controller-board/5952,Add-on Components,385,Nov '17,0
Support for Surface Vessel,https://forum.openrov.com/t/support-for-surface-vessel/5950,Open Talk,368,Nov '17,0
Hydrodynamics,https://forum.openrov.com/t/hydrodynamics/965,Open Talk,2.8k,Nov '17,39
BEST HW! Leave suggestions,https://forum.openrov.com/t/best-hw-leave-suggestions/5937,Hardware,263,Nov '17,0
OpenROV Firmware (Arduino) Development Guide,https://forum.openrov.com/t/openrov-firmware-arduino-development-guide/3759,Software,5.2k,Nov '17,3
Battery for the rov,https://forum.openrov.com/t/battery-for-the-rov/5920,Open Talk,917,Nov '17,10
How to redefine or add on some features on the GUI at openrov-cockpit?,https://forum.openrov.com/t/how-to-redefine-or-add-on-some-features-on-the-gui-at-openrov-cockpit/5929,Software,318,Oct '17,0
Remote control using raspberry pi and laptop,https://forum.openrov.com/t/remote-control-using-raspberry-pi-and-laptop/5928,Open Talk,433,Oct '17,0
OpenROV electronics cylinder,https://forum.openrov.com/t/openrov-electronics-cylinder/5917,Hardware,352,Oct '17,1
Dual Vertical Thrusters,https://forum.openrov.com/t/dual-vertical-thrusters/5912,Project and Build Discussion,488,Oct '17,1
Is there a better way to attach the tether to the Tenda adapter?,https://forum.openrov.com/t/is-there-a-better-way-to-attach-the-tether-to-the-tenda-adapter/5687,Project and Build Discussion,575,Oct '17,3
Deep Pressure Equalization,https://forum.openrov.com/t/deep-pressure-equalization/5902,Open Talk,503,Oct '17,2
Looking for New Zealand OpenROV users,https://forum.openrov.com/t/looking-for-new-zealand-openrov-users/4080,Open Talk,2.1k,Oct '17,14
ArduSub Electronics Platform,https://forum.openrov.com/t/ardusub-electronics-platform/5895,Electronics,484,Oct '17,1
How Accurate is IMU?,https://forum.openrov.com/t/how-accurate-is-imu/5897,Electronics,566,Oct '17,3
"ArduSlave, environmental sensors for OpenROV",https://forum.openrov.com/t/arduslave-environmental-sensors-for-openrov/1309,Open Talk,2.5k,Oct '17,33
Grabber claw bench test,https://forum.openrov.com/t/grabber-claw-bench-test/5729,Gallery,957,Oct '17,1
Heat Shrink with Adhesive Size,https://forum.openrov.com/t/heat-shrink-with-adhesive-size/2275,Open Talk,1.4k,Sep '17,5
Using ROV with tablet,https://forum.openrov.com/t/using-rov-with-tablet/5567,Software,554,Sep '17,1
Fun and Games with LED Modules,https://forum.openrov.com/t/fun-and-games-with-led-modules/340,Electronics,1.3k,Sep '17,7
Fatshark goggles and Raspberry Pi instead of laptop,https://forum.openrov.com/t/fatshark-goggles-and-raspberry-pi-instead-of-laptop/2508,Open Talk,2.5k,Sep '17,10
Proximity sensors or multi cameras for 4 dimensional “view”?,https://forum.openrov.com/t/proximity-sensors-or-multi-cameras-for-4-dimensional-view/5843,Add-on Components,334,Sep '17,0
Clockwise and counter-clockwise props,https://forum.openrov.com/t/clockwise-and-counter-clockwise-props/5836,Hardware,449,Sep '17,4
Two-Wire Tether,https://forum.openrov.com/t/two-wire-tether/26,Hardware,4.2k,Sep '17,25
Free Roark’s Formulas for Stress and Strain,https://forum.openrov.com/t/free-roarks-formulas-for-stress-and-strain/5837,Hardware,321,Sep '17,1
What Makes Fiber Optic Cables Better Than Copper Cables?,https://forum.openrov.com/t/what-makes-fiber-optic-cables-better-than-copper-cables/5810,Hardware,431,Sep '17,2
Neutrally buoyant tether,https://forum.openrov.com/t/neutrally-buoyant-tether/2284,Hardware,3.0k,Sep '17,5
ZORROV-IV build,https://forum.openrov.com/t/zorrov-iv-build/3834,Project and Build Discussion,2.5k,Sep '17,7
A question about a OpenROV Model used in UWSim,https://forum.openrov.com/t/a-question-about-a-openrov-model-used-in-uwsim/4846,Open Talk,843,Sep '17,4
Underwater Gimbal camera mount?,https://forum.openrov.com/t/underwater-gimbal-camera-mount/5818,Add-on Components,860,Sep '17,2
Hobbyking 10A Car ESC problem,https://forum.openrov.com/t/hobbyking-10a-car-esc-problem/5804,Hardware,889,Sep '17,4
Shielded or Unshielded Ethernet cables What would be the right choice?,https://forum.openrov.com/t/shielded-or-unshielded-ethernet-cables-what-would-be-the-right-choice/5760,Hardware,418,Sep '17,2
How do i connect a 3.2mm motor shaft to a 4mm propeller?,https://forum.openrov.com/t/how-do-i-connect-a-3-2mm-motor-shaft-to-a-4mm-propeller/5746,Hardware,631,Aug '17,5
Red October- MATE Competition ROV,https://forum.openrov.com/t/red-october-mate-competition-rov/4245,Project and Build Discussion,3.4k,Aug '17,10
Towed Camera Sled for HD filming,https://forum.openrov.com/t/towed-camera-sled-for-hd-filming/5281,Open Talk,889,Aug '17,4
What is the fact keep in mind about CAT5E Cables?,https://forum.openrov.com/t/what-is-the-fact-keep-in-mind-about-cat5e-cables/5757,Hardware,455,Aug '17,1
How to build a WiFi enabled Tether Router setup problem,https://forum.openrov.com/t/how-to-build-a-wifi-enabled-tether-router-setup-problem/4957,Open Talk,1.5k,Aug '17,5
Mjpeg-Server in RaspPi cockpit:where is mjpeg-server’s ‘output_ws.so’ file?,https://forum.openrov.com/t/mjpeg-server-in-rasppi-cockpit-where-is-mjpeg-servers-output-ws-so-file/5531,Software,770,Aug '17,1
Reinforcing the tether,https://forum.openrov.com/t/reinforcing-the-tether/5771,Project and Build Discussion,449,Aug '17,2
Raspberry PI as a complete OpenROV,https://forum.openrov.com/t/raspberry-pi-as-a-complete-openrov/5741,Software,1.3k,Aug '17,2
IMU/ DEPTH Sensor data converter to ASCII String?,https://forum.openrov.com/t/imu-depth-sensor-data-converter-to-ascii-string/5740,Hardware,345,Aug '17,0
Using RC airplane props in water?,https://forum.openrov.com/t/using-rc-airplane-props-in-water/41,Open Talk,8.3k,Jul '17,22
Gamepad ipega 9023,https://forum.openrov.com/t/gamepad-ipega-9023/5605,Software,696,Jul '17,3
Intresting rov from china,https://forum.openrov.com/t/intresting-rov-from-china/5721,Open Talk,548,Jul '17,0
AutoSpool: Automatic Tether Management,https://forum.openrov.com/t/autospool-automatic-tether-management/4227,Project and Build Discussion,1.9k,Jul '17,6
Adding new plugin/Ros Plugin,https://forum.openrov.com/t/adding-new-plugin-ros-plugin/5702,Software,420,Jul '17,1
Controller Board modification for 2 pairs of light cubes,https://forum.openrov.com/t/controller-board-modification-for-2-pairs-of-light-cubes/4375,Electronics,2.3k,Jul '17,15
A Power Distribution and Switching Board for OpenROV,https://forum.openrov.com/t/a-power-distribution-and-switching-board-for-openrov/475,Electronics,1.5k,Jul '17,11
Has anyone built a plug so the rov could be detached from the tether/cord?,https://forum.openrov.com/t/has-anyone-built-a-plug-so-the-rov-could-be-detached-from-the-tether-cord/5685,Project and Build Discussion,665,Jul '17,4
Interesting new Sonar / Fishfinder,https://forum.openrov.com/t/interesting-new-sonar-fishfinder/2107,Open Talk,966,Jul '17,1
20’ DC power cable to surface power supply,https://forum.openrov.com/t/20-dc-power-cable-to-surface-power-supply/4748,Hardware,917,Jul '17,3
TP link ethernet - fiber optic converter for tether,https://forum.openrov.com/t/tp-link-ethernet-fiber-optic-converter-for-tether/5681,Electronics,1.0k,Jul '17,7
How to control the motor by PS2 using ardunio,https://forum.openrov.com/t/how-to-control-the-motor-by-ps2-using-ardunio/5699,Open Talk,379,Jul '17,0
ArduSub and two cameras,https://forum.openrov.com/t/ardusub-and-two-cameras/5684,Electronics,846,Jul '17,1
ESC Calibration Arduino,https://forum.openrov.com/t/esc-calibration-arduino/867,Electronics,1.7k,Jun '17,9
Deep ROV Implications,https://forum.openrov.com/t/deep-rov-implications/5538,Open Talk,2.0k,Jun '17,10
Use of Cubical Structures for ROV Design,https://forum.openrov.com/t/use-of-cubical-structures-for-rov-design/5618,Open Talk,627,Jun '17,3
Acrylic Tubing Cast v.s. Extruded,https://forum.openrov.com/t/acrylic-tubing-cast-v-s-extruded/5644,Open Talk,717,Jun '17,2
DIY Halbach Array Brushless Motor (600 Watt),https://forum.openrov.com/t/diy-halbach-array-brushless-motor-600-watt/5652,Hardware,1.7k,Jun '17,3
Need help finishing openrov 2.6 kit,https://forum.openrov.com/t/need-help-finishing-openrov-2-6-kit/5621,Open Talk,451,Jun '17,3
Laser cutting polypropylene,https://forum.openrov.com/t/laser-cutting-polypropylene/811,Open Talk,5.4k,Jun '17,3
Make the motors slower,https://forum.openrov.com/t/make-the-motors-slower/5597,Electronics,498,Jun '17,1
What is role of the tether?,https://forum.openrov.com/t/what-is-role-of-the-tether/1197,Open Talk,501,Jun '17,9
Beaglebone problem?,https://forum.openrov.com/t/beaglebone-problem/1248,Electronics,848,May '17,7
Adding an air pump for a ballast system,https://forum.openrov.com/t/adding-an-air-pump-for-a-ballast-system/5575,Hardware,475,May '17,0
ROS Integration via roslibjs,https://forum.openrov.com/t/ros-integration-via-roslibjs/2659,Project and Build Discussion,6.6k,May '17,29
ChromeBook Setup,https://forum.openrov.com/t/chromebook-setup/1086,Open Talk,1.2k,May '17,4
Floating tether,https://forum.openrov.com/t/floating-tether/476,Hardware,2.1k,May '17,7
Brushless motor calculation,https://forum.openrov.com/t/brushless-motor-calculation/613,Open Talk,31.7k,May '17,4
Teardown of a HomePlug Adapter,https://forum.openrov.com/t/teardown-of-a-homeplug-adapter/305,Hardware,27.9k,May '17,136
Ballast system for rov,https://forum.openrov.com/t/ballast-system-for-rov/5324,Project and Build Discussion,811,May '17,1
Servo control simultaneously,https://forum.openrov.com/t/servo-control-simultaneously/5540,Software,428,May '17,0
Acoustic Location System,https://forum.openrov.com/t/acoustic-location-system/1295,Open Talk,20.2k,May '17,99
GoPro underwater Structure from Motion (SfM) / Photogrammetry,https://forum.openrov.com/t/gopro-underwater-structure-from-motion-sfm-photogrammetry/1183,Project and Build Discussion,17.6k,May '17,47
Acrylic Cylinder Strength,https://forum.openrov.com/t/acrylic-cylinder-strength/3924,Hardware,2.4k,May '17,8
3d printable parts to make a 50m tether spool out of a Tecnec Jackreel 4,https://forum.openrov.com/t/3d-printable-parts-to-make-a-50m-tether-spool-out-of-a-tecnec-jackreel-4/5530,Open Talk,462,May '17,0
How to deploy cockpit to different platform?(except rasp and bb),https://forum.openrov.com/t/how-to-deploy-cockpit-to-different-platform-except-rasp-and-bb/5527,Software,427,May '17,0
Lithium Polymer Battery Packs?,https://forum.openrov.com/t/lithium-polymer-battery-packs/100,Open Talk,3.9k,May '17,63
Wire color coding for OpenROV 2.8,https://forum.openrov.com/t/wire-color-coding-for-openrov-2-8/5520,Electronics,426,Apr '17,1
Help installing open_rov on beale bone blue,https://forum.openrov.com/t/help-installing-open-rov-on-beale-bone-blue/5511,Software,413,Apr '17,0
How to make a image from the openrov source,https://forum.openrov.com/t/how-to-make-a-image-from-the-openrov-source/5503,Software,403,Apr '17,0
Expoxy Potting New Camera,https://forum.openrov.com/t/expoxy-potting-new-camera/5473,Hardware,1.0k,Apr '17,6
Devolo homeplugs,https://forum.openrov.com/t/devolo-homeplugs/5453,Electronics,541,Apr '17,2
Seafox ROV pics,https://forum.openrov.com/t/seafox-rov-pics/5430,Gallery,945,Apr '17,1
Possibility of transmitting depth sensor readings?,https://forum.openrov.com/t/possibility-of-transmitting-depth-sensor-readings/5461,Software,556,Apr '17,1
What are ESCs used for in ROVs?,https://forum.openrov.com/t/what-are-escs-used-for-in-rovs/5003,Electronics,1.2k,Apr '17,6
Difficulties streaming multiple webcams on BBB,https://forum.openrov.com/t/difficulties-streaming-multiple-webcams-on-bbb/4192,Software,2.4k,Apr '17,5
Probem of add some sensors,https://forum.openrov.com/t/probem-of-add-some-sensors/5447,Open Talk,348,Apr '17,0
Thruster Shrouds and Rice or Kort Nozzle,https://forum.openrov.com/t/thruster-shrouds-and-rice-or-kort-nozzle/5439,Hardware,666,Apr '17,2
"Navigation, Location and Dead Reckoning",https://forum.openrov.com/t/navigation-location-and-dead-reckoning/765,Open Talk,11.9k,Apr '17,67
No idea on the new code,https://forum.openrov.com/t/no-idea-on-the-new-code/5408,Software,480,Mar '17,1
Is ethernet cable really that horrible?,https://forum.openrov.com/t/is-ethernet-cable-really-that-horrible/286,Hardware,2.3k,Mar '17,5
"The camera can not work for video,but can capture photo",https://forum.openrov.com/t/the-camera-can-not-work-for-video-but-can-capture-photo/5415,Hardware,332,Mar '17,0
"CTD+ (Conductivity, Temperature, Depth, Light) - From the Breadboard to the ROV",https://forum.openrov.com/t/ctd-conductivity-temperature-depth-light-from-the-breadboard-to-the-rov/837,Project and Build Discussion,5.7k,Mar '17,30
GoPro session vs genius KYE F100 camera,https://forum.openrov.com/t/gopro-session-vs-genius-kye-f100-camera/5401,Open Talk,508,Mar '17,0
No rechargeable battery(pile in French) instead of rechargeable ones?,https://forum.openrov.com/t/no-rechargeable-battery-pile-in-french-instead-of-rechargeable-ones/5380,Hardware,440,Mar '17,2
Tether density - floating level tapered fly fishing line for neutral buoyancy,https://forum.openrov.com/t/tether-density-floating-level-tapered-fly-fishing-line-for-neutral-buoyancy/3944,Hardware,2.4k,Mar '17,11
Compass problem with the first IMU (MPU 9150),https://forum.openrov.com/t/compass-problem-with-the-first-imu-mpu-9150/5382,Software,409,Mar '17,0
"Urgently need a ROV that can move (while glued to) a neutrally buoyant a 15 pound, 6” long section of 18” diameter pipe at up to 100m",https://forum.openrov.com/t/urgently-need-a-rov-that-can-move-while-glued-to-a-neutrally-buoyant-a-15-pound-6-long-section-of-18-diameter-pipe-at-up-to-100m/5370,Open Talk,553,Mar '17,1
[SOLVED] Arduino IDE upload,https://forum.openrov.com/t/solved-arduino-ide-upload/5352,Software,496,Mar '17,1
Claw wiring problems,https://forum.openrov.com/t/claw-wiring-problems/5360,Project and Build Discussion,699,Mar '17,3
Longer Tether,https://forum.openrov.com/t/longer-tether/1235,Hardware,5.2k,Mar '17,47
EnviroSense.io in alfa,https://forum.openrov.com/t/envirosense-io-in-alfa/5334,Add-on Components,657,Mar '17,1
ZORROV-V Openrov ROV Derivative,https://forum.openrov.com/t/zorrov-v-openrov-rov-derivative/5351,Project and Build Discussion,1.4k,Mar '17,6
Possibility of capturing/saving video using Raspberry Pi?,https://forum.openrov.com/t/possibility-of-capturing-saving-video-using-raspberry-pi/5297,Software,1.3k,Mar '17,4
Summer Software Intern & Marine Scientist at OpenROV,https://forum.openrov.com/t/summer-software-intern-marine-scientist-at-openrov/4423,Open ROV Cockpit-Plugins,2.4k,Mar '17,11
Thruster Gain Settings,https://forum.openrov.com/t/thruster-gain-settings/5307,Software,418,Feb '17,1
Thrusters / Motors,https://forum.openrov.com/t/thrusters-motors/5212,Hardware,2.4k,Feb '17,23
Gettings Started build ROV,https://forum.openrov.com/t/gettings-started-build-rov/5300,Open Talk,885,Feb '17,5
How to utilise pwm4 for extra external lights,https://forum.openrov.com/t/how-to-utilise-pwm4-for-extra-external-lights/5298,Electronics,526,Feb '17,1
Purchase of Sea to Summit Hook Release Strap,https://forum.openrov.com/t/purchase-of-sea-to-summit-hook-release-strap/5289,Open Talk,423,Feb '17,0
360 degree camera,https://forum.openrov.com/t/360-degree-camera/3593,Project and Build Discussion,2.6k,Feb '17,6
How to detect internal leakage? The Trident,https://forum.openrov.com/t/how-to-detect-internal-leakage-the-trident/5265,Open Talk,478,Feb '17,0
