name,url,replies,views,
Server side API for streaming video,https://forum.openrov.com/t/server-side-api-for-streaming-video/6591,3,251,"
             2018-07-31 20:21:22 UTC
           "
Trident Production Update,https://forum.openrov.com/t/trident-production-update/6563,0,194,"
             2018-07-20 08:53:30 UTC
           "
Post dive cleaning,https://forum.openrov.com/t/post-dive-cleaning/6556,5,297,"
             2018-07-17 02:38:08 UTC
           "
Unable to finish Trident firmware update,https://forum.openrov.com/t/unable-to-finish-trident-firmware-update/6460,21,903,"
             2018-06-13 07:13:42 UTC
           "
How to use the Trident display to full advantage,https://forum.openrov.com/t/how-to-use-the-trident-display-to-full-advantage/6243,18,1.1k,"
             2018-03-26 07:02:22 UTC
           "
Trident Controller & Cockpit layout,https://forum.openrov.com/t/trident-controller-cockpit-layout/6524,6,452,"
             2018-07-03 04:14:51 UTC
           "
OpenROV Trident Unboxing and Test Dive video,https://forum.openrov.com/t/openrov-trident-unboxing-and-test-dive-video/6546,2,217,"
             2018-07-11 03:39:41 UTC
           "
Water inside the hull,https://forum.openrov.com/t/water-inside-the-hull/6540,1,244,"
             2018-07-08 20:59:00 UTC
           "
Solar/Power Bank Charging,https://forum.openrov.com/t/solar-power-bank-charging/6152,3,391,"
             2018-02-10 19:14:24 UTC
           "
Trident Controller HDMI output,https://forum.openrov.com/t/trident-controller-hdmi-output/6149,5,767,"
             2018-02-09 05:21:23 UTC
           "
Finally got my Trident - but I canêt use it because I dont have the (beta) app!,https://forum.openrov.com/t/finally-got-my-trident-but-i-cant-use-it-because-i-dont-have-the-beta-app/6471,8,393,"
             2018-06-19 01:43:35 UTC
           "
Video Export Trouble,https://forum.openrov.com/t/video-export-trouble/6283,18,852,"
             2018-04-16 02:25:57 UTC
           "
Trident/ OpenROV HD Pro camera,https://forum.openrov.com/t/trident-openrov-hd-pro-camera/6435,4,427,"
             2018-05-30 04:33:59 UTC
           "
"Connection problem Trident - wifi ok, but no image or control",https://forum.openrov.com/t/connection-problem-trident-wifi-ok-but-no-image-or-control/6426,8,404,"
             2018-05-27 22:31:18 UTC
           "
Control via intetnet,https://forum.openrov.com/t/control-via-intetnet/6388,3,360,"
             2018-05-14 07:31:36 UTC
           "
Operating the Trident using a Chromebook vs Android Tablet,https://forum.openrov.com/t/operating-the-trident-using-a-chromebook-vs-android-tablet/5883,1,786,"
             2017-10-09 00:14:28 UTC
           "
Video stored on Trident after next software update?,https://forum.openrov.com/t/video-stored-on-trident-after-next-software-update/6429,2,297,"
             2018-05-28 22:00:52 UTC
           "
Stuck at 43% while updating Trident,https://forum.openrov.com/t/stuck-at-43-while-updating-trident/6386,15,661,"
             2018-05-13 12:08:46 UTC
           "
Troubleshooting: Wireless radio not powering up,https://forum.openrov.com/t/troubleshooting-wireless-radio-not-powering-up/6395,2,165,"
             2018-05-15 15:36:28 UTC
           "
Can anyone provide me with a link to the Trident app?,https://forum.openrov.com/t/can-anyone-provide-me-with-a-link-to-the-trident-app/6330,1,362,"
             2018-04-30 07:18:55 UTC
           "
OpenRov Cockpit Android app,https://forum.openrov.com/t/openrov-cockpit-android-app/6176,10,1.5k,"
             2018-02-19 06:53:03 UTC
           "
No Video on Trident,https://forum.openrov.com/t/no-video-on-trident/6358,1,242,"
             2018-05-05 19:56:03 UTC
           "
Has anyone tested a Trident under the ice?,https://forum.openrov.com/t/has-anyone-tested-a-trident-under-the-ice/6208,4,410,"
             2018-03-05 22:08:47 UTC
           "
Winter dives in freezing conditions?,https://forum.openrov.com/t/winter-dives-in-freezing-conditions/4696,11,1.4k,"
             2016-08-24 10:58:29 UTC
           "
Unable to download Trident cockpit app a third time,https://forum.openrov.com/t/unable-to-download-trident-cockpit-app-a-third-time/6315,0,294,"
             2018-04-24 13:29:48 UTC
           "
No access to OpenROV Software with a Trident delivered,https://forum.openrov.com/t/no-access-to-openrov-software-with-a-trident-delivered/6301,3,356,"
             2018-04-21 11:34:26 UTC
           "
CAD file of Trident?,https://forum.openrov.com/t/cad-file-of-trident/6290,2,356,"
             2018-04-17 13:12:35 UTC
           "
Would the Trident app run on an android image on Raspberry Pi 3?,https://forum.openrov.com/t/would-the-trident-app-run-on-an-android-image-on-raspberry-pi-3/6279,2,302,"
             2018-04-13 08:28:56 UTC
           "
OpenROV Cockpit for Guest Viewing,https://forum.openrov.com/t/openrov-cockpit-for-guest-viewing/6276,2,342,"
             2018-04-09 17:11:24 UTC
           "
"Where to access Trident Images, source code, tech docs?",https://forum.openrov.com/t/where-to-access-trident-images-source-code-tech-docs/6213,0,369,"
             2018-03-09 23:59:59 UTC
           "
Trident: solution of image distinguish,https://forum.openrov.com/t/trident-solution-of-image-distinguish/5642,8,938,"
             2017-06-19 01:35:05 UTC
           "
Interesting review of the TridentÄ.in french,https://forum.openrov.com/t/interesting-review-of-the-trident-in-french/6048,1,529,"
             2017-12-29 21:28:17 UTC
           "
Ability to add additional sensors to Trident,https://forum.openrov.com/t/ability-to-add-additional-sensors-to-trident/6087,1,627,"
             2018-01-10 22:58:39 UTC
           "
Trident exercise will not swing around?,https://forum.openrov.com/t/trident-exercise-will-not-swing-around/6012,4,566,"
             2017-12-14 01:49:19 UTC
           "
When is this going to be released?,https://forum.openrov.com/t/when-is-this-going-to-be-released/6025,1,468,"
             2017-12-18 18:14:25 UTC
           "
Trident delivery,https://forum.openrov.com/t/trident-delivery/5991,0,488,"
             2017-12-04 08:41:57 UTC
           "
Ability to fly grid pattern,https://forum.openrov.com/t/ability-to-fly-grid-pattern/4753,6,1.7k,"
             2016-09-13 01:53:42 UTC
           "
Trident Questions,https://forum.openrov.com/t/trident-questions/5338,10,1.9k,"
             2017-03-05 20:16:14 UTC
           "
Is the Trident powered via the tether cable?,https://forum.openrov.com/t/is-the-trident-powered-via-the-tether-cable/4374,2,1.4k,"
             2016-05-25 20:06:38 UTC
           "
Trident cable can be disassembled and replaced? How about charging,https://forum.openrov.com/t/trident-cable-can-be-disassembled-and-replaced-how-about-charging/5563,21,1.7k,"
             2017-05-19 04:45:19 UTC
           "
Trident rip-off?,https://forum.openrov.com/t/trident-rip-off/5777,8,1.7k,"
             2017-08-14 13:25:32 UTC
           "
What programming language is best learnt for the latest Version of the Trident?,https://forum.openrov.com/t/what-programming-language-is-best-learnt-for-the-latest-version-of-the-trident/5780,0,496,"
             2017-08-18 07:53:19 UTC
           "
Trident has a motor fault detection mechanism?,https://forum.openrov.com/t/trident-has-a-motor-fault-detection-mechanism/5720,0,388,"
             2017-07-20 01:05:11 UTC
           "
Trident of the glass lens is how fixed to the shell above it?,https://forum.openrov.com/t/trident-of-the-glass-lens-is-how-fixed-to-the-shell-above-it/5716,0,385,"
             2017-07-18 05:21:16 UTC
           "
Preorder question on lighting,https://forum.openrov.com/t/preorder-question-on-lighting/5714,2,556,"
             2017-07-17 16:23:49 UTC
           "
Trident camera underwater shooting with water shooting what is the difference?,https://forum.openrov.com/t/trident-camera-underwater-shooting-with-water-shooting-what-is-the-difference/5705,0,420,"
             2017-07-11 01:42:33 UTC
           "
Trident itself buoyancy is bigger than water?,https://forum.openrov.com/t/trident-itself-buoyancy-is-bigger-than-water/5683,0,390,"
             2017-07-03 10:59:09 UTC
           "
Trident inside are solid?,https://forum.openrov.com/t/trident-inside-are-solid/5637,5,677,"
             2017-06-18 06:52:52 UTC
           "
Is the trident user friendly?,https://forum.openrov.com/t/is-the-trident-user-friendly/5611,1,549,"
             2017-06-09 13:18:49 UTC
           "
Wireless interference with each other?,https://forum.openrov.com/t/wireless-interference-with-each-other/5613,0,361,"
             2017-06-10 09:14:56 UTC
           "
Trident with sound recording?,https://forum.openrov.com/t/trident-with-sound-recording/5515,10,782,"
             2017-04-26 01:41:07 UTC
           "
SSH access and nonstandard SD card,https://forum.openrov.com/t/ssh-access-and-nonstandard-sd-card/5449,1,515,"
             2017-04-05 17:08:17 UTC
           "
Trident order confirmation number,https://forum.openrov.com/t/trident-order-confirmation-number/5421,3,674,"
             2017-03-28 14:57:53 UTC
           "
Trident motor controller,https://forum.openrov.com/t/trident-motor-controller/5414,2,663,"
             2017-03-27 07:28:00 UTC
           "
Trident and video capture?,https://forum.openrov.com/t/trident-and-video-capture/5347,1,635,"
             2017-03-06 20:09:58 UTC
           "
Battery charging + support for FPV Goggles,https://forum.openrov.com/t/battery-charging-support-for-fpv-goggles/5356,1,668,"
             2017-03-08 16:26:57 UTC
           "
Tether Getting Stuck?,https://forum.openrov.com/t/tether-getting-stuck/5016,3,1.1k,"
             2016-11-24 22:54:13 UTC
           "
Trident Post Dive Cleaning and Storage,https://forum.openrov.com/t/trident-post-dive-cleaning-and-storage/5308,2,640,"
             2017-02-27 12:14:23 UTC
           "
What is the role of EEPROM?,https://forum.openrov.com/t/what-is-the-role-of-eeprom/5303,1,507,"
             2017-02-24 09:19:51 UTC
           "
Trident payload standardized battery module,https://forum.openrov.com/t/trident-payload-standardized-battery-module/5224,2,1.1k,"
             2017-02-02 07:12:06 UTC
           "
Win10 Cockpit Simulator build error - i2c.cc canêt include sys/ioctl.h,https://forum.openrov.com/t/win10-cockpit-simulator-build-error-i2c-cc-cant-include-sys-ioctl-h/5197,0,613,"
             2017-01-21 22:05:50 UTC
           "
Controlling Trident / Phantom 4,https://forum.openrov.com/t/controlling-trident-phantom-4/5062,0,730,"
             2016-12-10 09:02:14 UTC
           "
Trident: For –light” commercial use?,https://forum.openrov.com/t/trident-for-light-commercial-use/5040,2,933,"
             2016-12-02 10:44:37 UTC
           "
Tridents Navagational Aids,https://forum.openrov.com/t/tridents-navagational-aids/4960,3,889,"
             2016-11-07 00:00:26 UTC
           "
Trident- display layout,https://forum.openrov.com/t/trident-display-layout/4912,1,774,"
             2016-10-21 15:45:53 UTC
           "
Trident Warranty,https://forum.openrov.com/t/trident-warranty/4917,1,767,"
             2016-10-23 13:29:33 UTC
           "
Changing 25M to 100M tether back and forth,https://forum.openrov.com/t/changing-25m-to-100m-tether-back-and-forth/4856,7,1.2k,"
             2016-10-05 15:44:55 UTC
           "
When is the anticipated delivery date of the TRIDENT?,https://forum.openrov.com/t/when-is-the-anticipated-delivery-date-of-the-trident/4760,2,1.1k,"
             2016-09-15 17:52:07 UTC
           "
[SOLVED] Questions about Trident before pre-ordering,https://forum.openrov.com/t/solved-questions-about-trident-before-pre-ordering/4835,6,1.5k,"
             2016-09-29 06:46:49 UTC
           "
"[SOLVED] Trident with 100m tether, does it also come with the 25m?",https://forum.openrov.com/t/solved-trident-with-100m-tether-does-it-also-come-with-the-25m/4683,6,1.1k,"
             2016-08-19 09:29:44 UTC
           "
Address change for trident,https://forum.openrov.com/t/address-change-for-trident/4685,8,1.0k,"
             2016-08-20 13:35:27 UTC
           "
When Will Trident be released,https://forum.openrov.com/t/when-will-trident-be-released/4670,2,1.2k,"
             2016-08-14 21:25:58 UTC
           "
3D Mapping and opportunities?,https://forum.openrov.com/t/3d-mapping-and-opportunities/4455,4,2.1k,"
             2016-06-16 21:13:10 UTC
           "
Trident battery capacity,https://forum.openrov.com/t/trident-battery-capacity/4401,1,953,"
             2016-06-04 17:34:41 UTC
           "
"Dragonbox Pyra Compatibility, some questions about the Trident",https://forum.openrov.com/t/dragonbox-pyra-compatibility-some-questions-about-the-trident/4347,4,1.4k,"
             2016-05-18 19:47:44 UTC
           "
Whatês the difference between Trident and 2.8,https://forum.openrov.com/t/whats-the-difference-between-trident-and-2-8/4181,3,1.7k,"
             2016-04-10 03:42:21 UTC
           "
About the Add-ons / Accessories category,https://forum.openrov.com/t/about-the-add-ons-accessories-category/4904,0,376,"
             2016-10-19 21:24:32 UTC
           "
Lanyard for Trident Controller,https://forum.openrov.com/t/lanyard-for-trident-controller/7138,0,7,"
             2018-12-13 22:05:15 UTC
           "
Water protection for JXD Controller?,https://forum.openrov.com/t/water-protection-for-jxd-controller/6222,3,436,"
             2018-03-15 13:48:40 UTC
           "
"50 - 60m Tether OPTION on a std spool, can we have one",https://forum.openrov.com/t/50-60m-tether-option-on-a-std-spool-can-we-have-one/6962,4,159,"
             2018-10-29 09:11:13 UTC
           "
BR neutrally buoyant twisted pair tether,https://forum.openrov.com/t/br-neutrally-buoyant-twisted-pair-tether/6512,0,187,"
             2018-06-28 17:17:16 UTC
           "
IMU Module Setup,https://forum.openrov.com/t/imu-module-setup/6259,1,261,"
             2018-04-01 08:49:21 UTC
           "
Adding Temperature Sensor,https://forum.openrov.com/t/adding-temperature-sensor/5580,3,645,"
             2017-05-26 18:14:27 UTC
           "
IMU Calibration (compass and tilt),https://forum.openrov.com/t/imu-calibration-compass-and-tilt/824,47,9.7k,"
             2014-02-24 13:42:31 UTC
           "
New IMU or not?,https://forum.openrov.com/t/new-imu-or-not/4466,4,1.4k,"
             2016-06-19 12:51:32 UTC
           "
IMUTestArduino FAIL,https://forum.openrov.com/t/imutestarduino-fail/5476,0,593,"
             2017-04-13 05:38:54 UTC
           "
IMU Dead on arrival,https://forum.openrov.com/t/imu-dead-on-arrival/5443,1,479,"
             2017-04-04 10:08:31 UTC
           "
Small air bubble under the IMU Module PWB,https://forum.openrov.com/t/small-air-bubble-under-the-imu-module-pwb/4888,13,865,"
             2016-10-16 22:45:41 UTC
           "
Checking The IMU,https://forum.openrov.com/t/checking-the-imu/5172,0,467,"
             2017-01-19 20:00:24 UTC
           "
I canêt get the IMU working,https://forum.openrov.com/t/i-cant-get-the-imu-working/4915,18,2.0k,"
             2016-10-23 02:38:47 UTC
           "
Mock Dev enviroment for desktops,https://forum.openrov.com/t/mock-dev-enviroment-for-desktops/5043,8,1.0k,"
             2016-12-05 14:22:07 UTC
           "
Using a Humminbird Side Scan Sonar not to the bottom but to ahead of the ROV,https://forum.openrov.com/t/using-a-humminbird-side-scan-sonar-not-to-the-bottom-but-to-ahead-of-the-rov/4984,1,965,"
             2016-11-13 15:22:07 UTC
           "
"[SOLVED] Will the new high res camera fit V2,6?",https://forum.openrov.com/t/solved-will-the-new-high-res-camera-fit-v2-6/4560,4,901,"
             2016-07-14 07:17:38 UTC
           "
[SOLVED] Light cubes not working,https://forum.openrov.com/t/solved-light-cubes-not-working/4893,6,908,"
             2016-10-17 22:28:58 UTC
           "
Alternate camera: latency fluctuates dramatically,https://forum.openrov.com/t/alternate-camera-latency-fluctuates-dramatically/4867,3,887,"
             2016-10-09 18:53:21 UTC
           "
How to collected date from IMU,https://forum.openrov.com/t/how-to-collected-date-from-imu/4757,3,816,"
             2016-09-14 16:12:41 UTC
           "
Camera upgrade kit optics/resolution options,https://forum.openrov.com/t/camera-upgrade-kit-optics-resolution-options/4852,4,1.0k,"
             2016-10-02 18:23:00 UTC
           "
Xbox 360 controller: no deadzones and laggy response,https://forum.openrov.com/t/xbox-360-controller-no-deadzones-and-laggy-response/4838,1,676,"
             2016-09-29 20:42:22 UTC
           "
Correcting roll on IMU,https://forum.openrov.com/t/correcting-roll-on-imu/4209,3,987,"
             2016-04-18 20:58:28 UTC
           "
When will the underwater servo be avaialbe?,https://forum.openrov.com/t/when-will-the-underwater-servo-be-avaialbe/4693,1,714,"
             2016-08-23 12:45:06 UTC
           "
V2.6 - 2 sets of light cubes,https://forum.openrov.com/t/v2-6-2-sets-of-light-cubes/4422,1,969,"
             2016-06-10 06:06:24 UTC
           "
Where does the OpenROV cockpit browser retrieve IMU data,https://forum.openrov.com/t/where-does-the-openrov-cockpit-browser-retrieve-imu-data/4393,1,860,"
             2016-06-03 23:04:11 UTC
           "
IMU Problem no data,https://forum.openrov.com/t/imu-problem-no-data/4258,12,2.4k,"
             2016-04-26 08:50:04 UTC
           "
HD Camera Picture Blink[opennrov v30.0.3],https://forum.openrov.com/t/hd-camera-picture-blink-opennrov-v30-0-3/4298,8,1.9k,"
             2016-05-08 13:29:51 UTC
           "
BN055 and MPU9150,https://forum.openrov.com/t/bn055-and-mpu9150/4148,7,1.7k,"
             2016-04-03 04:21:11 UTC
           "
External Light cube using Arduino,https://forum.openrov.com/t/external-light-cube-using-arduino/4130,2,1.1k,"
             2016-03-28 12:39:46 UTC
           "
Get the IMU data from a IP address in real-time,https://forum.openrov.com/t/get-the-imu-data-from-a-ip-address-in-real-time/2585,2,1.4k,"
             2015-03-20 07:49:09 UTC
           "
New IMU problems,https://forum.openrov.com/t/new-imu-problems/3616,5,1.4k,"
             2015-11-19 07:35:21 UTC
           "
Troubleshooting IMU2 orientation data freezing shortly after boot,https://forum.openrov.com/t/troubleshooting-imu2-orientation-data-freezing-shortly-after-boot/3164,29,5.7k,"
             2015-07-30 03:30:33 UTC
           "
[sudo] password for IMU problem,https://forum.openrov.com/t/sudo-password-for-imu-problem/3019,1,889,"
             2015-07-04 02:43:40 UTC
           "
How to enable the Pilot program?,https://forum.openrov.com/t/how-to-enable-the-pilot-program/2973,2,956,"
             2015-06-19 21:06:59 UTC
           "
Trouble loading the Beta Arduino software for new Bosch based IMU,https://forum.openrov.com/t/trouble-loading-the-beta-arduino-software-for-new-bosch-based-imu/2960,11,1.9k,"
             2015-06-16 19:20:03 UTC
           "
[solved] IMU/ Depth Sensor code,https://forum.openrov.com/t/solved-imu-depth-sensor-code/916,6,1.2k,"
             2014-04-14 16:52:27 UTC
           "
[solved] Debugging the arduino code / Serial.print,https://forum.openrov.com/t/solved-debugging-the-arduino-code-serial-print/1013,2,661,"
             2014-05-20 18:58:05 UTC
           "
About the OpenROV 2.4 and below category,https://forum.openrov.com/t/about-the-openrov-2-4-and-below-category/4905,0,388,"
             2016-10-19 22:17:14 UTC
           "
OpenROV 2.3 Overview,https://forum.openrov.com/t/openrov-2-3-overview/2094,1,1.1k,"
             2011-10-13 07:25:04 UTC
           "
OpenROV 2.2 Description,https://forum.openrov.com/t/openrov-2-2-description/2095,10,1.6k,"
             2012-01-30 22:48:11 UTC
           "
2.3 Connection Issue,https://forum.openrov.com/t/2-3-connection-issue/5961,3,380,"
             2017-11-18 16:00:52 UTC
           "
Old OpenROV #119 Build or Scrap?,https://forum.openrov.com/t/old-openrov-119-build-or-scrap/5627,3,515,"
             2017-06-15 01:25:29 UTC
           "
OpenROV 2.3/4 Build Guide?,https://forum.openrov.com/t/openrov-2-3-4-build-guide/4850,1,701,"
             2016-10-02 10:18:20 UTC
           "
OpenROV 2.2 Instructions,https://forum.openrov.com/t/openrov-2-2-instructions/4162,1,950,"
             2016-04-05 19:22:17 UTC
           "
Stable Software for v2.4 ROV,https://forum.openrov.com/t/stable-software-for-v2-4-rov/637,23,3.3k,"
             2013-11-20 22:53:41 UTC
           "
OpenROV 2.3 instructions needed - stumped where to pick up,https://forum.openrov.com/t/openrov-2-3-instructions-needed-stumped-where-to-pick-up/2207,3,1.0k,"
             2015-02-06 16:02:16 UTC
           "
Drawings and laser-cutting shapes for 2.3.2 on GitHub,https://forum.openrov.com/t/drawings-and-laser-cutting-shapes-for-2-3-2-on-github/92,0,814,"
             2012-07-06 14:00:42 UTC
           "
"Testing a 2.3-2.4 upgraded with propellers, lasers, and battery packs. Makes a newfangled friend in the tank!",https://forum.openrov.com/t/testing-a-2-3-2-4-upgraded-with-propellers-lasers-and-battery-packs-makes-a-newfangled-friend-in-the-tank/1985,0,603,"
             2014-06-09 22:26:27 UTC
           "
Modify 2.4 chassis,https://forum.openrov.com/t/modify-2-4-chassis/686,3,1.1k,"
             2013-12-18 05:02:12 UTC
           "
OpenROV 2.3 Instructions,https://forum.openrov.com/t/openrov-2-3-instructions/2093,22,2.4k,"
             2011-10-11 06:31:32 UTC
           "
Difference of structure designs,https://forum.openrov.com/t/difference-of-structure-designs/180,1,792,"
             2012-10-05 06:05:07 UTC
           "
OpenROV 2.7 Overview,https://forum.openrov.com/t/openrov-2-7-overview/2420,2,1.8k,"
             2015-03-02 01:38:09 UTC
           "
About the OpenROV 2.5 and Later category,https://forum.openrov.com/t/about-the-openrov-2-5-and-later-category/4907,0,538,"
             2016-10-19 22:37:14 UTC
           "
*ANNOUNCEMENT* Official Changes to OpenROV 2.6,https://forum.openrov.com/t/announcement-official-changes-to-openrov-2-6/2041,4,1.6k,"
             2014-09-15 19:29:48 UTC
           "
OpenROV v2.5: A Closer Look,https://forum.openrov.com/t/openrov-v2-5-a-closer-look/1771,7,2.3k,"
             2013-09-24 13:59:15 UTC
           "
Leakage wiring harness,https://forum.openrov.com/t/leakage-wiring-harness/4919,2,754,"
             2016-10-24 07:39:21 UTC
           "
Sourcing o-rings in Europe,https://forum.openrov.com/t/sourcing-o-rings-in-europe/2999,3,895,"
             2015-06-29 16:07:14 UTC
           "
Camera freezing issues with OpenROV 2.8,https://forum.openrov.com/t/camera-freezing-issues-with-openrov-2-8/4324,4,1.2k,"
             2016-05-14 22:31:56 UTC
           "
Engineering Adhesives online,https://forum.openrov.com/t/engineering-adhesives-online/6635,0,90,"
             2018-08-16 13:02:31 UTC
           "
Pairing JDX with Iphone,https://forum.openrov.com/t/pairing-jdx-with-iphone/6630,0,103,"
             2018-08-15 16:17:09 UTC
           "
Trident connector to 2.X series Mod,https://forum.openrov.com/t/trident-connector-to-2-x-series-mod/6544,4,303,"
             2018-07-09 23:23:42 UTC
           "
Using Fat Sharkês Transformer Headset Display,https://forum.openrov.com/t/using-fat-sharks-transformer-headset-display/6519,5,357,"
             2018-06-30 12:31:20 UTC
           "
Gamepad not working with 31.0.0 RC4,https://forum.openrov.com/t/gamepad-not-working-with-31-0-0-rc4/6491,9,336,"
             2018-06-23 06:28:07 UTC
           "
Adding External Servo 31.0.0 RC4,https://forum.openrov.com/t/adding-external-servo-31-0-0-rc4/6431,7,308,"
             2018-05-29 12:29:33 UTC
           "
2yr old ROV stopped connecting,https://forum.openrov.com/t/2yr-old-rov-stopped-connecting/6414,0,176,"
             2018-05-23 20:02:30 UTC
           "
India - Shipping and Acrylic Cement sourcing,https://forum.openrov.com/t/india-shipping-and-acrylic-cement-sourcing/3789,2,1.2k,"
             2016-01-16 18:40:30 UTC
           "
OpenROV [2.8] How do I query which version software I am running?,https://forum.openrov.com/t/openrov-2-8-how-do-i-query-which-version-software-i-am-running/6367,2,227,"
             2018-05-08 01:37:57 UTC
           "
OpenROV 2.8 Video frozen in cockpit,https://forum.openrov.com/t/openrov-2-8-video-frozen-in-cockpit/6347,1,262,"
             2018-05-03 14:14:35 UTC
           "
