name,url,,,
Printable Pre- and Post-Dive Checklists,https://forum.openrov.com/t/printable-pre-and-post-dive-checklists/2976,3,2.0k,"
             2015-06-21 16:47:54 UTC
           "
Lighting reflections on tube and camera image quality,https://forum.openrov.com/t/lighting-reflections-on-tube-and-camera-image-quality/2864,2,1.5k,"
             2015-05-22 15:37:22 UTC
           "
Useful command-line commands,https://forum.openrov.com/t/useful-command-line-commands/1241,2,1.7k,"
             2014-10-15 05:48:55 UTC
           "
Change the static IP address of a ROV,https://forum.openrov.com/t/change-the-static-ip-address-of-a-rov/2290,0,1.9k,"
             2015-02-18 23:09:18 UTC
           "
Multibeam reinterpretation for use in Citizen Marine Archaeology,https://forum.openrov.com/t/multibeam-reinterpretation-for-use-in-citizen-marine-archaeology/2189,2,2.5k,"
             2015-02-05 07:30:08 UTC
           "
,,,,
About the Open Talk category,https://forum.openrov.com/t/about-the-open-talk-category/18,0,1.0k,"
             2015-01-30 16:26:21 UTC
           "
Bathymetry with rov and mapping with drone,https://forum.openrov.com/t/bathymetry-with-rov-and-mapping-with-drone/7132,3,27,"
             2018-12-13 00:11:40 UTC
           "
What tablet/controller options do I have besides a laptop?,https://forum.openrov.com/t/what-tablet-controller-options-do-i-have-besides-a-laptop/7115,1,47,"
             2018-12-09 16:53:15 UTC
           "
Acoustic Location System,https://forum.openrov.com/t/acoustic-location-system/1295,101,20.6k,"
             2014-11-06 19:13:08 UTC
           "
Issue Connecting OpenROV 2.8 to Laptop,https://forum.openrov.com/t/issue-connecting-openrov-2-8-to-laptop/6567,3,187,"
             2018-07-20 18:50:33 UTC
           "
GPS tracking for OPENROV 2.8,https://forum.openrov.com/t/gps-tracking-for-openrov-2-8/5821,3,803,"
             2017-09-09 15:23:07 UTC
           "
Video Capture Software?,https://forum.openrov.com/t/video-capture-software/4698,9,1.6k,"
             2016-08-24 21:18:19 UTC
           "
Control an external servo to control an external camera,https://forum.openrov.com/t/control-an-external-servo-to-control-an-external-camera/6999,0,72,"
             2018-11-07 08:52:20 UTC
           "
Update on Long Range Wireless Buoy project?,https://forum.openrov.com/t/update-on-long-range-wireless-buoy-project/6768,2,208,"
             2018-09-14 12:18:34 UTC
           "
Testing Trident with attached Payloads,https://forum.openrov.com/t/testing-trident-with-attached-payloads/3676,18,5.0k,"
             2015-12-10 01:22:30 UTC
           "
Brushless Motors,https://forum.openrov.com/t/brushless-motors/32,20,7.8k,"
             2011-07-13 00:41:42 UTC
           "
Side scan sonar,https://forum.openrov.com/t/side-scan-sonar/2354,13,5.7k,"
             2015-02-25 14:29:58 UTC
           "
"SONAR hydrophones, active, doppler, ADCP, ADP, DVL, Fan Beam",https://forum.openrov.com/t/sonar-hydrophones-active-doppler-adcp-adp-dvl-fan-beam/727,19,3.8k,"
             2014-01-08 04:06:39 UTC
           "
Convert OpenROV 2.8 to Blue Robotics M100 brushless motors,https://forum.openrov.com/t/convert-openrov-2-8-to-blue-robotics-m100-brushless-motors/5231,8,1.7k,"
             2017-02-03 20:29:15 UTC
           "
Long distance wifi stup?,https://forum.openrov.com/t/long-distance-wifi-stup/1360,5,579,"
             2014-12-19 10:34:59 UTC
           "
Ordering Acrylic in Europe in metric units: which dimensions?,https://forum.openrov.com/t/ordering-acrylic-in-europe-in-metric-units-which-dimensions/109,19,1.4k,"
             2012-07-19 22:58:42 UTC
           "
Adding Additional Arduino Using I2C,https://forum.openrov.com/t/adding-additional-arduino-using-i2c/6281,0,212,"
             2018-04-13 16:37:28 UTC
           "
Tether or Umbilical,https://forum.openrov.com/t/tether-or-umbilical/6052,1,509,"
             2017-12-31 21:55:26 UTC
           "
Hello. OpenROV Mechatronics Engineering Intern + Tridentês External Payload,https://forum.openrov.com/t/hello-openrov-mechatronics-engineering-intern-tridents-external-payload/4441,31,5.2k,"
             2016-06-14 05:44:27 UTC
           "
Any suggestions for alternative Structure from Motion Cameras?,https://forum.openrov.com/t/any-suggestions-for-alternative-structure-from-motion-cameras/4263,6,2.6k,"
             2016-04-27 21:10:52 UTC
           "
Long Range Wireless Buoy,https://forum.openrov.com/t/long-range-wireless-buoy/2869,22,7.3k,"
             2015-05-23 06:35:21 UTC
           "
Looking for someone to Build my OpenROV 2.8,https://forum.openrov.com/t/looking-for-someone-to-build-my-openrov-2-8/6092,4,520,"
             2018-01-11 18:58:30 UTC
           "
The Difference between versions,https://forum.openrov.com/t/the-difference-between-versions/4220,5,1.2k,"
             2016-04-19 14:30:43 UTC
           "
Laser Pointers,https://forum.openrov.com/t/laser-pointers/631,21,5.6k,"
             2013-11-16 14:08:07 UTC
           "
For UK ROVers - Fabulous case!,https://forum.openrov.com/t/for-uk-rovers-fabulous-case/3554,16,2.9k,"
             2015-10-30 12:35:41 UTC
           "
Design a 4 thruster ROV,https://forum.openrov.com/t/design-a-4-thruster-rov/3628,16,5.4k,"
             2015-11-25 04:17:29 UTC
           "
Hydrodynamics coefficient for openrov controller,https://forum.openrov.com/t/hydrodynamics-coefficient-for-openrov-controller/3921,8,2.0k,"
             2016-02-15 11:05:13 UTC
           "
Recommended topside side scan sonar systems,https://forum.openrov.com/t/recommended-topside-side-scan-sonar-systems/5960,4,891,"
             2017-11-15 20:22:50 UTC
           "
Support for Surface Vessel,https://forum.openrov.com/t/support-for-surface-vessel/5950,0,401,"
             2017-11-12 17:32:47 UTC
           "
Hydrodynamics,https://forum.openrov.com/t/hydrodynamics/965,39,2.9k,"
             2014-05-05 08:44:06 UTC
           "
Battery for the rov,https://forum.openrov.com/t/battery-for-the-rov/5920,10,977,"
             2017-10-26 08:07:10 UTC
           "
Remote control using raspberry pi and laptop,https://forum.openrov.com/t/remote-control-using-raspberry-pi-and-laptop/5928,0,470,"
             2017-10-30 01:09:33 UTC
           "
Deep Pressure Equalization,https://forum.openrov.com/t/deep-pressure-equalization/5902,2,530,"
             2017-10-17 02:55:01 UTC
           "
Looking for New Zealand OpenROV users,https://forum.openrov.com/t/looking-for-new-zealand-openrov-users/4080,14,2.2k,"
             2016-03-16 08:59:32 UTC
           "
"ArduSlave, environmental sensors for OpenROV",https://forum.openrov.com/t/arduslave-environmental-sensors-for-openrov/1309,33,2.6k,"
             2014-11-11 12:51:18 UTC
           "
Heat Shrink with Adhesive Size,https://forum.openrov.com/t/heat-shrink-with-adhesive-size/2275,5,1.4k,"
             2015-02-17 01:38:31 UTC
           "
Fatshark goggles and Raspberry Pi instead of laptop,https://forum.openrov.com/t/fatshark-goggles-and-raspberry-pi-instead-of-laptop/2508,10,2.5k,"
             2015-03-07 23:36:57 UTC
           "
A question about a OpenROV Model used in UWSim,https://forum.openrov.com/t/a-question-about-a-openrov-model-used-in-uwsim/4846,4,868,"
             2016-10-01 15:35:47 UTC
           "
Towed Camera Sled for HD filming,https://forum.openrov.com/t/towed-camera-sled-for-hd-filming/5281,4,927,"
             2017-02-19 05:05:00 UTC
           "
How to build a WiFi enabled Tether Router setup problem,https://forum.openrov.com/t/how-to-build-a-wifi-enabled-tether-router-setup-problem/4957,5,1.6k,"
             2016-11-06 01:49:50 UTC
           "
Using RC airplane props in water?,https://forum.openrov.com/t/using-rc-airplane-props-in-water/41,22,8.4k,"
             2011-10-30 20:51:36 UTC
           "
Intresting rov from china,https://forum.openrov.com/t/intresting-rov-from-china/5721,0,568,"
             2017-07-20 21:41:39 UTC
           "
Interesting new Sonar / Fishfinder,https://forum.openrov.com/t/interesting-new-sonar-fishfinder/2107,1,1.0k,"
             2015-01-16 03:48:24 UTC
           "
How to control the motor by PS2 using ardunio,https://forum.openrov.com/t/how-to-control-the-motor-by-ps2-using-ardunio/5699,0,394,"
             2017-07-10 11:53:59 UTC
           "
Deep ROV Implications,https://forum.openrov.com/t/deep-rov-implications/5538,10,2.1k,"
             2017-05-09 03:01:11 UTC
           "
Use of Cubical Structures for ROV Design,https://forum.openrov.com/t/use-of-cubical-structures-for-rov-design/5618,3,674,"
             2017-06-12 20:31:36 UTC
           "
Acrylic Tubing Cast v.s. Extruded,https://forum.openrov.com/t/acrylic-tubing-cast-v-s-extruded/5644,2,741,"
             2017-06-19 23:01:22 UTC
           "
Need help finishing openrov 2.6 kit,https://forum.openrov.com/t/need-help-finishing-openrov-2-6-kit/5621,3,471,"
             2017-06-13 20:03:55 UTC
           "
Laser cutting polypropylene,https://forum.openrov.com/t/laser-cutting-polypropylene/811,3,5.6k,"
             2014-02-17 20:23:38 UTC
           "
What is role of the tether?,https://forum.openrov.com/t/what-is-role-of-the-tether/1197,9,517,"
             2014-09-16 12:51:09 UTC
           "
ChromeBook Setup,https://forum.openrov.com/t/chromebook-setup/1086,4,1.2k,"
             2014-07-07 22:51:59 UTC
           "
Brushless motor calculation,https://forum.openrov.com/t/brushless-motor-calculation/613,4,32.4k,"
             2013-11-04 12:08:03 UTC
           "
3d printable parts to make a 50m tether spool out of a Tecnec Jackreel 4,https://forum.openrov.com/t/3d-printable-parts-to-make-a-50m-tether-spool-out-of-a-tecnec-jackreel-4/5530,0,489,"
             2017-05-03 20:23:33 UTC
           "
Lithium Polymer Battery Packs?,https://forum.openrov.com/t/lithium-polymer-battery-packs/100,63,4.0k,"
             2012-07-12 12:48:08 UTC
           "
Probem of add some sensors,https://forum.openrov.com/t/probem-of-add-some-sensors/5447,0,360,"
             2017-04-05 01:47:56 UTC
           "
"Navigation, Location and Dead Reckoning",https://forum.openrov.com/t/navigation-location-and-dead-reckoning/765,67,12.1k,"
             2014-01-29 19:36:48 UTC
           "
GoPro session vs genius KYE F100 camera,https://forum.openrov.com/t/gopro-session-vs-genius-kye-f100-camera/5401,0,538,"
             2017-03-23 17:22:18 UTC
           "
"Urgently need a ROV that can move (while glued to) a neutrally buoyant a 15 pound, 6” long section of 18” diameter pipe at up to 100m",https://forum.openrov.com/t/urgently-need-a-rov-that-can-move-while-glued-to-a-neutrally-buoyant-a-15-pound-6-long-section-of-18-diameter-pipe-at-up-to-100m/5370,1,565,"
             2017-03-14 16:11:36 UTC
           "
Gettings Started build ROV,https://forum.openrov.com/t/gettings-started-build-rov/5300,5,935,"
             2017-02-23 14:27:17 UTC
           "
Purchase of Sea to Summit Hook Release Strap,https://forum.openrov.com/t/purchase-of-sea-to-summit-hook-release-strap/5289,0,447,"
             2017-02-20 21:22:01 UTC
           "
How to detect internal leakage? The Trident,https://forum.openrov.com/t/how-to-detect-internal-leakage-the-trident/5265,0,493,"
             2017-02-15 03:43:08 UTC
           "
LiFePO4 3.2V 8AH - Other battery alternatives,https://forum.openrov.com/t/lifepo4-3-2v-8ah-other-battery-alternatives/1224,11,2.5k,"
             2014-10-03 15:18:30 UTC
           "
Shipwrecks and Submerged Worlds: Maritime Archaeology online course,https://forum.openrov.com/t/shipwrecks-and-submerged-worlds-maritime-archaeology-online-course/2688,11,1.4k,"
             2015-04-07 09:24:00 UTC
           "
Any one located around central mid west US,https://forum.openrov.com/t/any-one-located-around-central-mid-west-us/3988,3,1.1k,"
             2016-02-28 03:25:02 UTC
           "
Newb ROVer - School me on making my first!,https://forum.openrov.com/t/newb-rover-school-me-on-making-my-first/5149,6,816,"
             2017-01-13 06:16:51 UTC
           "
Rpi Camera+Gstreamer=live Streaming. How to imply the live streaming to the webpage,https://forum.openrov.com/t/rpi-camera-gstreamer-live-streaming-how-to-imply-the-live-streaming-to-the-webpage/5116,0,523,"
             2017-01-04 22:37:12 UTC
           "
Filmmakers of –Chasing Ice” and –Racing Extinction”,https://forum.openrov.com/t/filmmakers-of-chasing-ice-and-racing-extinction/5047,3,670,"
             2016-12-05 20:00:24 UTC
           "
Thunder Tiger Neptune Upgrade,https://forum.openrov.com/t/thunder-tiger-neptune-upgrade/5033,2,663,"
             2016-11-29 13:14:15 UTC
           "
Planning the I2C Address Space for Sensors,https://forum.openrov.com/t/planning-the-i2c-address-space-for-sensors/360,15,2.7k,"
             2013-03-17 04:38:19 UTC
           "
Any one in Seattle area that can assist me in adding Strafe motor?,https://forum.openrov.com/t/any-one-in-seattle-area-that-can-assist-me-in-adding-strafe-motor/4535,1,874,"
             2016-07-07 15:52:05 UTC
           "
Underwater camera on an autonomous sailboat?,https://forum.openrov.com/t/underwater-camera-on-an-autonomous-sailboat/4937,11,973,"
             2016-10-27 11:17:50 UTC
           "
Good source/brand for the 26650 batteries?,https://forum.openrov.com/t/good-source-brand-for-the-26650-batteries/943,7,2.7k,"
             2014-04-25 22:04:18 UTC
           "
Propeller Design/Selection Help,https://forum.openrov.com/t/propeller-design-selection-help/4970,0,551,"
             2016-11-08 23:44:18 UTC
           "
Custom ROV For Senior Project,https://forum.openrov.com/t/custom-rov-for-senior-project/4941,5,1.3k,"
             2016-10-28 16:11:57 UTC
           "
ROV for under 25 Amps?,https://forum.openrov.com/t/rov-for-under-25-amps/4945,4,631,"
             2016-10-31 19:18:21 UTC
           "
New cheap open sources rov,https://forum.openrov.com/t/new-cheap-open-sources-rov/4701,0,905,"
             2016-08-25 15:10:43 UTC
           "
How to open .brd file at opensource electronics,https://forum.openrov.com/t/how-to-open-brd-file-at-opensource-electronics/4021,0,723,"
             2016-03-06 14:05:00 UTC
           "
Again on Batteries: Standard C Batteries vs Rechargable Batteries vs LiPos,https://forum.openrov.com/t/again-on-batteries-standard-c-batteries-vs-rechargable-batteries-vs-lipos/136,12,1.2k,"
             2012-08-03 13:44:25 UTC
           "
Trident WiFi Buoy,https://forum.openrov.com/t/trident-wifi-buoy/4857,7,1.0k,"
             2016-10-05 19:48:58 UTC
           "
Replacing the battery on Trident,https://forum.openrov.com/t/replacing-the-battery-on-trident/4901,2,679,"
             2016-10-19 18:12:31 UTC
           "
GPS for ROV Surface Navigation,https://forum.openrov.com/t/gps-for-rov-surface-navigation/2989,31,8.0k,"
             2015-06-25 03:30:21 UTC
           "
Ideas for Underwater ROV Claw,https://forum.openrov.com/t/ideas-for-underwater-rov-claw/4864,1,1.3k,"
             2016-10-09 02:37:43 UTC
           "
Grab arm - how to attach servos,https://forum.openrov.com/t/grab-arm-how-to-attach-servos/4790,4,1.3k,"
             2016-09-23 16:03:05 UTC
           "
New OpenROV kits beyond Trident?,https://forum.openrov.com/t/new-openrov-kits-beyond-trident/3973,10,3.5k,"
             2016-02-25 12:49:15 UTC
           "
Simple ROV camera build,https://forum.openrov.com/t/simple-rov-camera-build/4772,7,1.4k,"
             2016-09-20 05:59:40 UTC
           "
Why isnêt the open rov shaped like a real sub?,https://forum.openrov.com/t/why-isnt-the-open-rov-shaped-like-a-real-sub/682,5,641,"
             2013-12-13 20:44:48 UTC
           "
How many of us are there?,https://forum.openrov.com/t/how-many-of-us-are-there/4824,1,554,"
             2016-09-27 19:05:46 UTC
           "
Mini RC Submarine With Integrated Camera,https://forum.openrov.com/t/mini-rc-submarine-with-integrated-camera/4774,1,892,"
             2016-09-20 14:32:49 UTC
           "
ROV for search and recovery,https://forum.openrov.com/t/rov-for-search-and-recovery/3294,5,2.2k,"
             2015-09-11 22:02:31 UTC
           "
Pressure testing,https://forum.openrov.com/t/pressure-testing/407,12,855,"
             2013-04-28 17:44:46 UTC
           "
OpenROV simulation,https://forum.openrov.com/t/openrov-simulation/2304,6,2.2k,"
             2015-02-19 14:11:57 UTC
           "
Control OpenROV from Beaglebone Black tablet,https://forum.openrov.com/t/control-openrov-from-beaglebone-black-tablet/4756,1,639,"
             2016-09-13 10:21:41 UTC
           "
Alignment Tool for assembling the Non-Pass-Though End Cap,https://forum.openrov.com/t/alignment-tool-for-assembling-the-non-pass-though-end-cap/4745,0,560,"
             2016-09-11 19:07:43 UTC
           "
Coaxial motor setup?,https://forum.openrov.com/t/coaxial-motor-setup/4747,2,602,"
             2016-09-11 21:04:24 UTC
           "
Will there be a gripper arm for the Trident?,https://forum.openrov.com/t/will-there-be-a-gripper-arm-for-the-trident/4721,1,703,"
             2016-09-02 14:08:04 UTC
           "
Restoring an OpenROV,https://forum.openrov.com/t/restoring-an-openrov/3904,5,1.3k,"
             2016-02-12 14:43:21 UTC
           "
The Trident is how charged_,https://forum.openrov.com/t/the-trident-is-how-charged/4290,3,1.2k,"
             2016-05-07 15:35:49 UTC
           "
Floating Tether,https://forum.openrov.com/t/floating-tether/1266,16,3.1k,"
             2014-10-25 23:49:21 UTC
           "
SCIGRIP 4 10308 Acrylic Solvent Cement,https://forum.openrov.com/t/scigrip-4-10308-acrylic-solvent-cement/4664,0,648,"
             2016-08-12 18:45:08 UTC
           "
Dst-700 dimensions/drawing,https://forum.openrov.com/t/dst-700-dimensions-drawing/4641,2,861,"
             2016-08-05 19:48:24 UTC
           "
Chuck ROV build,https://forum.openrov.com/t/chuck-rov-build/4632,2,892,"
             2016-08-03 04:30:54 UTC
           "
Top side adapter STL?,https://forum.openrov.com/t/top-side-adapter-stl/4622,3,853,"
             2016-07-27 20:51:17 UTC
           "
"Ask the experts, trident is completely sealed inside it?",https://forum.openrov.com/t/ask-the-experts-trident-is-completely-sealed-inside-it/4307,17,2.5k,"
             2016-05-10 15:30:19 UTC
           "
Will it work in a big river?,https://forum.openrov.com/t/will-it-work-in-a-big-river/786,3,1.4k,"
             2014-02-07 05:26:46 UTC
           "
Uploading Arduino firmware directly via Arduino IDE,https://forum.openrov.com/t/uploading-arduino-firmware-directly-via-arduino-ide/1344,3,1.0k,"
             2014-12-04 20:15:53 UTC
           "
Can digitalWrite() makes ESC work?,https://forum.openrov.com/t/can-digitalwrite-makes-esc-work/4574,4,886,"
             2016-07-17 11:48:25 UTC
           "
DeepROV battery,https://forum.openrov.com/t/deeprov-battery/4549,6,1.4k,"
             2016-07-11 17:56:44 UTC
           "
3D Printed Modifications and extras,https://forum.openrov.com/t/3d-printed-modifications-and-extras/3843,9,2.5k,"
             2016-01-28 12:31:10 UTC
           "
TTRobotix Seawolf,https://forum.openrov.com/t/ttrobotix-seawolf/2927,13,4.1k,"
             2015-06-10 10:57:19 UTC
           "
OpenROV rebuild v2.7 to v2.8 is that possible?,https://forum.openrov.com/t/openrov-rebuild-v2-7-to-v2-8-is-that-possible/3331,11,2.3k,"
             2015-09-18 06:56:32 UTC
           "
OpenROV Trident vs iBubble,https://forum.openrov.com/t/openrov-trident-vs-ibubble/4568,2,1.2k,"
             2016-07-15 10:17:16 UTC
           "
ROV on-board power supply,https://forum.openrov.com/t/rov-on-board-power-supply/4528,4,1.3k,"
             2016-07-06 11:19:14 UTC
           "
External lights: alternatives to the light cubes,https://forum.openrov.com/t/external-lights-alternatives-to-the-light-cubes/3822,6,2.5k,"
             2016-01-25 12:43:28 UTC
           "
Temperature and Depth Data from IMU/Depth Module,https://forum.openrov.com/t/temperature-and-depth-data-from-imu-depth-module/4534,0,766,"
             2016-07-07 13:06:27 UTC
           "
Two wire STP tether power setup,https://forum.openrov.com/t/two-wire-stp-tether-power-setup/4530,0,677,"
             2016-07-06 17:14:59 UTC
           "
Alternative control board options for first ROV?,https://forum.openrov.com/t/alternative-control-board-options-for-first-rov/4519,2,1.6k,"
             2016-07-04 19:44:24 UTC
           "
Maximum supply voltage for OpenROV 2.8 Developerês Controller,https://forum.openrov.com/t/maximum-supply-voltage-for-openrov-2-8-developers-controller/4483,5,1.3k,"
             2016-06-23 17:15:40 UTC
           "
Thickness of acrylic material used for Topside Adapter case,https://forum.openrov.com/t/thickness-of-acrylic-material-used-for-topside-adapter-case/4497,4,795,"
             2016-06-28 19:45:59 UTC
           "
Trident - Sensors?,https://forum.openrov.com/t/trident-sensors/4493,3,1.5k,"
             2016-06-28 02:36:20 UTC
           "
"New prototype Gas actuated Rov, carbon fiber, with air thrusters,",https://forum.openrov.com/t/new-prototype-gas-actuated-rov-carbon-fiber-with-air-thrusters/4498,0,713,"
             2016-06-28 22:29:32 UTC
           "
Serial Number,https://forum.openrov.com/t/serial-number/841,5,842,"
             2014-03-03 18:03:35 UTC
           "
Important parameters which specify the professional thruster quality,https://forum.openrov.com/t/important-parameters-which-specify-the-professional-thruster-quality/4487,0,811,"
             2016-06-26 21:52:09 UTC
           "
What kind of adhesive?,https://forum.openrov.com/t/what-kind-of-adhesive/4449,2,1.0k,"
             2016-06-15 00:12:21 UTC
           "
Mods for Low visibility,https://forum.openrov.com/t/mods-for-low-visibility/4327,3,1.8k,"
             2016-05-15 13:39:38 UTC
           "
Trident - Questions about battery and max depth ++,https://forum.openrov.com/t/trident-questions-about-battery-and-max-depth/4399,7,1.3k,"
             2016-06-04 16:46:54 UTC
           "
Links to other ROV projects,https://forum.openrov.com/t/links-to-other-rov-projects/76,7,1.4k,"
             2012-06-28 14:10:54 UTC
           "
ROV custom build: seeking comments on my plan for the electrical / electronics,https://forum.openrov.com/t/rov-custom-build-seeking-comments-on-my-plan-for-the-electrical-electronics/4371,2,1.3k,"
             2016-05-25 04:06:11 UTC
           "
ROV propellers design,https://forum.openrov.com/t/rov-propellers-design/4367,0,891,"
             2016-05-23 19:17:57 UTC
           "
Tracked crawler rov,https://forum.openrov.com/t/tracked-crawler-rov/989,2,2.0k,"
             2014-05-14 20:45:37 UTC
           "
Should Underwater Thrusters be cheap?,https://forum.openrov.com/t/should-underwater-thrusters-be-cheap/4313,0,1.3k,"
             2016-05-11 15:56:21 UTC
           "
A Solution For Manage The Tether,https://forum.openrov.com/t/a-solution-for-manage-the-tether/4262,1,873,"
             2016-04-27 20:58:24 UTC
           "
Michigan connection,https://forum.openrov.com/t/michigan-connection/568,2,787,"
             2013-09-16 01:44:24 UTC
           "
What do I need for glue/cement,https://forum.openrov.com/t/what-do-i-need-for-glue-cement/4238,2,576,"
             2016-04-21 16:58:56 UTC
           "
iBubble - another ROV startup is live,https://forum.openrov.com/t/ibubble-another-rov-startup-is-live/4222,2,1.1k,"
             2016-04-19 16:56:43 UTC
           "
Today : Shorted cam USB wire and other!,https://forum.openrov.com/t/today-shorted-cam-usb-wire-and-other/4200,0,480,"
             2016-04-16 19:09:53 UTC
           "
Water like potting epoxy or similar?,https://forum.openrov.com/t/water-like-potting-epoxy-or-similar/4180,9,1.4k,"
             2016-04-09 23:28:22 UTC
           "
Looking to get started looking for rov,https://forum.openrov.com/t/looking-to-get-started-looking-for-rov/4174,0,510,"
             2016-04-07 11:32:29 UTC
           "
ROV control via gamepad,https://forum.openrov.com/t/rov-control-via-gamepad/4105,5,2.0k,"
             2016-03-20 12:02:50 UTC
           "
Nice to meet you,https://forum.openrov.com/t/nice-to-meet-you/4023,8,2.0k,"
             2016-03-06 15:56:12 UTC
           "
OpenRov Modeling,https://forum.openrov.com/t/openrov-modeling/4084,6,1.8k,"
             2016-03-16 15:59:36 UTC
           "
"Losing Propellers, Finding Replacements",https://forum.openrov.com/t/losing-propellers-finding-replacements/4097,2,1.1k,"
             2016-03-18 01:24:53 UTC
           "
Ahoy from the Gulf Coast - introductions,https://forum.openrov.com/t/ahoy-from-the-gulf-coast-introductions/4067,1,758,"
             2016-03-14 00:09:41 UTC
           "
Hello World from Toronto - Canada,https://forum.openrov.com/t/hello-world-from-toronto-canada/4045,0,655,"
             2016-03-10 13:48:50 UTC
           "
3D printed and optimized inner structure (v2.6),https://forum.openrov.com/t/3d-printed-and-optimized-inner-structure-v2-6/2135,4,1.8k,"
             2015-01-30 16:45:31 UTC
           "
OpenRov #2878 in China,https://forum.openrov.com/t/openrov-2878-in-china/3844,4,1.8k,"
             2016-01-28 16:42:21 UTC
           "
First Underwater ROV Project,https://forum.openrov.com/t/first-underwater-rov-project/3940,16,3.7k,"
             2016-02-20 01:10:51 UTC
           "
Open source Sensors,https://forum.openrov.com/t/open-source-sensors/3763,5,1.6k,"
             2016-01-12 23:16:38 UTC
           "
Proposal of collaboration - fire department,https://forum.openrov.com/t/proposal-of-collaboration-fire-department/4008,0,894,"
             2016-03-03 14:41:38 UTC
           "
"Wanting to get started with ROVês, advice requested",https://forum.openrov.com/t/wanting-to-get-started-with-rovs-advice-requested/3995,4,1.2k,"
             2016-02-29 14:04:37 UTC
           "
Does anyone use Forth?,https://forum.openrov.com/t/does-anyone-use-forth/3948,2,858,"
             2016-02-22 12:25:00 UTC
           "
"Immediate Need: Investigation in Boston, MA - Underwater Recovery Effort",https://forum.openrov.com/t/immediate-need-investigation-in-boston-ma-underwater-recovery-effort/3987,6,1.9k,"
             2016-02-27 22:22:51 UTC
           "
BEMT propeller design software,https://forum.openrov.com/t/bemt-propeller-design-software/603,44,7.2k,"
             2013-10-29 18:05:39 UTC
           "
Has anyone used Acetone instead of acrylic glue?,https://forum.openrov.com/t/has-anyone-used-acetone-instead-of-acrylic-glue/3895,7,9.4k,"
             2016-02-11 16:48:28 UTC
           "
Open Rov with Beaglebone and Multiwii AIO Flight Controller (ATmega 2560) V2.0,https://forum.openrov.com/t/open-rov-with-beaglebone-and-multiwii-aio-flight-controller-atmega-2560-v2-0/3565,6,1.9k,"
             2015-11-01 21:31:44 UTC
           "
Modification Shell,https://forum.openrov.com/t/modification-shell/3850,9,3.0k,"
             2016-01-29 10:16:05 UTC
           "
Glare from internal lights,https://forum.openrov.com/t/glare-from-internal-lights/3389,16,3.2k,"
             2015-09-24 20:44:15 UTC
           "
[SOLVED] Cannot connect to my openrov,https://forum.openrov.com/t/solved-cannot-connect-to-my-openrov/3854,3,1.1k,"
             2016-01-30 15:52:37 UTC
           "
New Age Illuminable Tether,https://forum.openrov.com/t/new-age-illuminable-tether/3840,0,634,"
             2016-01-27 19:23:55 UTC
           "
